,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,14,4587,1404,29,3698,1571,50.8,28,4603,1724,22,3762,1748,61.4,28.0,21.0,1.0,2015
0,21,3663,1854,19,3789,1808,57.9,17,3503,1850,25,3972,1730,51.4,23.0,31.0,0.0,2015
0,20,3833,1731,25,4140,1678,66.8,15,3255,2044,30,3763,1335,50.5,20.0,27.0,0.0,2015
0,24,4057,1868,30,4350,1459,58.3,30,3782,1529,28,4783,1942,57.2,31.0,10.0,1.0,2015
0,19,3343,2432,22,3642,1905,60.0,30,3704,1438,14,3737,1661,62.0,27.0,14.0,1.0,2015
0,22,4095,1566,21,3852,1578,54.9,19,3811,1496,19,3678,1797,72.8,10.0,17.0,0.0,2015
0,28,4108,1473,23,3882,1680,52.4,19,3589,2282,23,3364,1304,76.4,9.0,20.0,0.0,2015
0,22,2805,1956,21,4012,2055,68.6,16,3790,2268,27,3193,1337,66.3,34.0,31.0,1.0,2015
0,24,4616,1917,28,3976,1477,64.1,20,4970,1491,25,3366,1597,52.9,31.0,19.0,1.0,2015
0,24,4591,1358,23,3840,1606,39.2,24,4212,1335,12,4179,2020,28.9,33.0,28.0,1.0,2015
0,28,3852,2162,17,3593,1934,57.7,33,3503,1485,26,4273,2153,43.7,14.0,42.0,0.0,2015
0,24,3879,1457,27,4128,1962,57.3,17,3923,1805,33,3687,1460,72.5,13.0,33.0,0.0,2015
0,31,3970,1718,16,4000,2019,45.6,28,4271,1478,25,4114,1952,43.1,19.0,13.0,1.0,2015
0,33,3471,1890,18,4291,1709,48.4,21,4347,1609,39,3752,1415,61.0,27.0,26.0,1.0,2015
0,30,4379,1606,20,3786,2005,68.4,31,4087,1743,26,4065,1820,52.8,26.0,24.0,1.0,2015
0,17,3316,1544,22,4544,2071,67.8,17,2928,2211,11,3636,1931,61.1,20.0,3.0,1.0,2015
0,15,3255,2044,30,3763,1335,50.5,31,3970,1718,16,4000,2019,45.6,24.0,31.0,0.0,2015
0,19,3589,2282,23,3364,1304,76.4,20,3833,1731,25,4140,1678,66.8,24.0,17.0,1.0,2015
0,20,4970,1491,25,3366,1597,52.9,28,3852,2162,17,3593,1934,57.7,19.0,26.0,0.0,2015
0,28,4603,1724,22,3762,1748,61.4,17,3316,1544,22,4544,2071,67.8,43.0,18.0,1.0,2015
0,17,2928,2211,11,3636,1931,61.1,24,4212,1335,12,4179,2020,28.9,26.0,16.0,1.0,2015
0,19,3343,2432,22,3642,1905,60.0,14,4587,1404,29,3698,1571,50.8,32.0,40.0,0.0,2015
0,21,3663,1854,19,3789,1808,57.9,24,4616,1917,28,3976,1477,64.1,23.0,48.0,0.0,2015
0,30,3782,1529,28,4783,1942,57.2,33,3503,1485,26,4273,2153,43.7,28.0,14.0,1.0,2015
0,17,3923,1805,33,3687,1460,72.5,24,4591,1358,23,3840,1606,39.2,24.0,19.0,1.0,2015
0,22,4095,1566,21,3852,1578,54.9,22,2805,1956,21,4012,2055,68.6,24.0,10.0,1.0,2015
0,21,4347,1609,39,3752,1415,61.0,30,4379,1606,20,3786,2005,68.4,20.0,24.0,0.0,2015
0,24,3879,1457,27,4128,1962,57.3,28,4271,1478,25,4114,1952,43.1,37.0,33.0,1.0,2015
0,28,4108,1473,23,3882,1680,52.4,19,3811,1496,19,3678,1797,72.8,23.0,20.0,1.0,2015
0,31,4087,1743,26,4065,1820,52.8,33,3471,1890,18,4291,1709,48.4,10.0,20.0,0.0,2015
0,17,3503,1850,25,3972,1730,51.4,16,3790,2268,27,3193,1337,66.3,27.0,17.0,1.0,2015
0,30,3704,1438,14,3737,1661,62.0,24,4057,1868,30,4350,1459,58.3,7.0,20.0,0.0,2015
0,21,4347,1609,39,3752,1415,61.0,22,4095,1566,21,3852,1578,54.9,32.0,21.0,1.0,2015
0,22,2805,1956,21,4012,2055,68.6,28,4603,1724,22,3762,1748,61.4,6.0,12.0,0.0,2015
0,17,2928,2211,11,3636,1931,61.1,24,4591,1358,23,3840,1606,39.2,31.0,14.0,1.0,2015
0,20,3833,1731,25,4140,1678,66.8,28,3852,2162,17,3593,1934,57.7,19.0,9.0,1.0,2015
0,24,4057,1868,30,4350,1459,58.3,31,4087,1743,26,4065,1820,52.8,17.0,24.0,0.0,2015
0,19,3589,2282,23,3364,1304,76.4,20,4970,1491,25,3366,1597,52.9,27.0,22.0,1.0,2015
0,14,4587,1404,29,3698,1571,50.8,28,4108,1473,23,3882,1680,52.4,51.0,17.0,1.0,2015
0,28,4271,1478,25,4114,1952,43.1,17,3923,1805,33,3687,1460,72.5,24.0,28.0,0.0,2015
0,30,3782,1529,28,4783,1942,57.2,24,3879,1457,27,4128,1962,57.3,20.0,27.0,0.0,2015
0,33,3503,1485,26,4273,2153,43.7,30,3704,1438,14,3737,1661,62.0,33.0,35.0,0.0,2015
0,33,3471,1890,18,4291,1709,48.4,30,4379,1606,20,3786,2005,68.4,28.0,39.0,0.0,2015
0,24,4616,1917,28,3976,1477,64.1,17,3316,1544,22,4544,2071,67.8,47.0,7.0,1.0,2015
0,16,3790,2268,27,3193,1337,66.3,21,3663,1854,19,3789,1808,57.9,26.0,0.0,1.0,2015
0,19,3811,1496,19,3678,1797,72.8,19,3343,2432,22,3642,1905,60.0,14.0,41.0,0.0,2015
0,24,4212,1335,12,4179,2020,28.9,31,3970,1718,16,4000,2019,45.6,12.0,24.0,0.0,2015
0,17,3503,1850,25,3972,1730,51.4,15,3255,2044,30,3763,1335,50.5,38.0,28.0,1.0,2015
0,28,4603,1724,22,3762,1748,61.4,28,4271,1478,25,4114,1952,43.1,20.0,23.0,0.0,2015
0,24,4057,1868,30,4350,1459,58.3,19,3811,1496,19,3678,1797,72.8,27.0,14.0,1.0,2015
0,30,3704,1438,14,3737,1661,62.0,28,4108,1473,23,3882,1680,52.4,16.0,13.0,1.0,2015
0,30,4379,1606,20,3786,2005,68.4,20,3833,1731,25,4140,1678,66.8,48.0,21.0,1.0,2015
