,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,17,3538,1963,15,3752,1918,68.4,19,3576,1660,19,4153,1999,45.9,26.0,24.0,1.0,2018
0,29,3109,1723,17,4151,1983,53.2,30,3165,1622,21,4044,1898,79.2,31.0,12.0,1.0,2018
0,24,3564,1938,20,3140,1815,55.2,35,5125,1523,17,4308,1551,58.0,48.0,10.0,1.0,2018
0,18,2975,2027,28,3932,2325,69.6,23,4275,1570,27,2867,1839,63.6,26.0,23.0,1.0,2018
0,28,2523,1342,17,3853,2249,46.9,11,3093,2560,20,3755,1513,71.0,17.0,20.0,0.0,2018
0,24,3751,1628,7,3732,1814,51.7,24,4007,1893,30,3780,1957,33.2,45.0,42.0,1.0,2018
0,19,4089,1873,28,3943,1803,59.4,32,3867,1902,31,4125,2163,59.5,29.0,27.0,1.0,2018
0,19,4047,1650,14,3599,1761,80.3,16,4042,2025,17,3471,1863,54.8,18.0,33.0,0.0,2018
0,26,5008,1445,20,3646,1693,51.2,20,3558,2441,28,3929,1913,61.8,14.0,26.0,0.0,2018
0,21,3695,1907,27,4374,2114,49.1,18,4955,1855,36,3515,1280,24.1,23.0,27.0,0.0,2018
0,18,4258,2037,29,4167,1323,49.8,24,4461,1718,17,3113,1870,53.2,38.0,24.0,1.0,2018
0,24,4007,1893,30,3780,1957,33.2,20,3558,2441,28,3929,1913,61.8,12.0,9.0,1.0,2018
0,18,4955,1855,36,3515,1280,24.1,29,3109,1723,17,4151,1983,53.2,30.0,14.0,1.0,2018
0,32,2794,1984,18,4414,2204,66.2,18,2975,2027,28,3932,2325,69.6,13.0,12.0,1.0,2018
0,22,3836,2136,26,3794,1860,43.4,19,4047,1650,14,3599,1761,80.3,33.0,31.0,1.0,2018
0,30,3165,1622,21,4044,1898,79.2,21,3695,1907,27,4374,2114,49.1,34.0,16.0,1.0,2018
0,26,5008,1445,20,3646,1693,51.2,18,4653,1573,26,3805,1630,44.5,41.0,17.0,1.0,2018
0,19,3576,1660,19,4153,1999,45.9,15,4238,1667,24,4302,1283,69.6,31.0,23.0,1.0,2018
0,17,3290,1682,15,3697,1538,67.8,23,2900,1738,16,3262,2479,62.0,27.0,17.0,1.0,2018
0,19,4089,1873,28,3943,1803,59.4,24,3751,1628,7,3732,1814,51.7,26.0,10.0,1.0,2018
0,32,3867,1902,31,4125,2163,59.5,28,2523,1342,17,3853,2249,46.9,18.0,28.0,0.0,2018
0,23,4275,1570,27,2867,1839,63.6,20,4036,1493,23,3847,1804,46.5,21.0,23.0,0.0,2018
0,11,3093,2560,20,3755,1513,71.0,19,4507,2231,17,3360,1327,65.7,31.0,33.0,0.0,2018
0,16,3781,2021,26,3842,1811,51.3,17,3538,1963,15,3752,1918,68.4,19.0,16.0,1.0,2018
0,16,4042,2025,17,3471,1863,54.8,19,3021,1774,20,4065,2021,63.3,43.0,19.0,1.0,2018
0,19,4047,1650,14,3599,1761,80.3,23,4275,1570,27,2867,1839,63.6,13.0,34.0,0.0,2018
0,20,4036,1493,23,3847,1804,46.5,28,2523,1342,17,3853,2249,46.9,27.0,17.0,1.0,2018
0,24,4007,1893,30,3780,1957,33.2,19,4089,1873,28,3943,1803,59.4,14.0,38.0,0.0,2018
0,23,2900,1738,16,3262,2479,62.0,24,3564,1938,20,3140,1815,55.2,31.0,28.0,1.0,2018
0,19,3021,1774,20,4065,2021,63.3,22,3836,2136,26,3794,1860,43.4,23.0,17.0,1.0,2018
0,30,3165,1622,21,4044,1898,79.2,24,4461,1718,17,3113,1870,53.2,42.0,34.0,1.0,2018
0,17,3290,1682,15,3697,1538,67.8,26,5008,1445,20,3646,1693,51.2,21.0,28.0,0.0,2018
0,18,4653,1573,26,3805,1630,44.5,35,5125,1523,17,4308,1551,58.0,34.0,29.0,1.0,2018
