date,home team,visiting team,home score,visiting score
,,,,
9-07-2017,NewEngland,KansasCity,27,42
9-10-2017,Buffalo,NYJets,21,12
9-10-2017,Chicago,Atlanta,17,23
9-10-2017,Houston,Jacksonville,7,29
9-10-2017,Washington,Philadelphia,17,30
9-10-2017,Detroit,Arizona,35,23
9-10-2017,Tennessee,Oakland,16,26
9-10-2017,Cincinnati,Baltimore,0,20
9-10-2017,Cleveland,Pittsburgh,18,21
9-10-2017,LARams,Indianapolis,46,9
9-10-2017,GreenBay,Seattle,17,9
9-10-2017,SanFrancisco,Carolina,3,23
9-10-2017,Dallas,NYGiants,19,3
9-11-2017,Minnesota,NewOrleans,29,19
9-11-2017,Denver,LAChargers,24,21
9-14-2017,Cincinnati,Houston,9,13
9-17-2017,Jacksonville,Tennessee,16,37
9-17-2017,Baltimore,Cleveland,24,10
9-17-2017,Carolina,Buffalo,9,3
9-17-2017,NewOrleans,NewEngland,20,36
9-17-2017,Indianapolis,Arizona,13,16
9-17-2017,KansasCity,Philadelphia,27,20
9-17-2017,Pittsburgh,Minnesota,26,9
9-17-2017,TampaBay,Chicago,29,7
9-17-2017,LAChargers,Miami,17,19
9-17-2017,Oakland,NYJets,45,20
9-17-2017,LARams,Washington,20,27
9-17-2017,Denver,Dallas,42,17
9-17-2017,Seattle,SanFrancisco,12,9
9-17-2017,Atlanta,GreenBay,34,23
9-18-2017,NYGiants,Detroit,10,24
9-21-2017,SanFrancisco,LARams,39,41
9-24-2017,Jacksonville,Baltimore,44,7
9-24-2017,Indianapolis,Cleveland,31,28
9-24-2017,Chicago,Pittsburgh,23,17
9-24-2017,NYJets,Miami,20,6
9-24-2017,Buffalo,Denver,26,16
9-24-2017,NewEngland,Houston,36,33
9-24-2017,Carolina,NewOrleans,13,34
9-24-2017,Minnesota,TampaBay,34,17
9-24-2017,Detroit,Atlanta,26,30
9-24-2017,Philadelphia,NYGiants,27,24
9-24-2017,Tennessee,Seattle,33,27
9-24-2017,LAChargers,KansasCity,10,24
9-24-2017,GreenBay,Cincinnati,27,24
9-24-2017,Washington,Oakland,27,10
9-25-2017,Arizona,Dallas,17,28
9-28-2017,GreenBay,Chicago,35,14
10-01-2017,Miami,NewOrleans,0,20
10-01-2017,NewEngland,Carolina,30,33
10-01-2017,Dallas,LARams,30,35
10-01-2017,Minnesota,Detroit,7,14
10-01-2017,Houston,Tennessee,57,14
10-01-2017,NYJets,Jacksonville,23,20
10-01-2017,Cleveland,Cincinnati,7,31
10-01-2017,Baltimore,Pittsburgh,9,26
10-01-2017,Atlanta,Buffalo,17,23
10-01-2017,TampaBay,NYGiants,25,23
10-01-2017,LAChargers,Philadelphia,24,26
10-01-2017,Arizona,SanFrancisco,18,15
10-01-2017,Denver,Oakland,16,10
10-01-2017,Seattle,Indianapolis,46,18
10-02-2017,KansasCity,Washington,29,20
10-05-2017,TampaBay,NewEngland,14,19
10-08-2017,NYGiants,LAChargers,22,27
10-08-2017,Cincinnati,Buffalo,20,16
10-08-2017,Cleveland,NYJets,14,17
10-08-2017,Pittsburgh,Jacksonville,9,30
10-08-2017,Miami,Tennessee,16,10
10-08-2017,Indianapolis,SanFrancisco,26,23
10-08-2017,Philadelphia,Arizona,34,7
10-08-2017,Detroit,Carolina,24,27
