date,home team,visiting team,home score,visiting score
,,,,
9-06-2018,Philadelphia,Atlanta,18,12
9-09-2018,Cleveland,Pittsburgh,21,21
9-09-2018,Minnesota,SanFrancisco,24,16
9-09-2018,Indianapolis,Cincinnati,23,34
9-09-2018,Baltimore,Buffalo,47,3
9-09-2018,NYGiants,Jacksonville,15,20
9-09-2018,NewOrleans,TampaBay,40,48
9-09-2018,NewEngland,Houston,27,20
9-09-2018,Miami,Tennessee,27,20
9-09-2018,LAChargers,KansasCity,28,38
9-09-2018,Denver,Seattle,27,24
9-09-2018,Carolina,Dallas,16,8
9-09-2018,Arizona,Washington,6,24
9-09-2018,GreenBay,Chicago,24,23
9-10-2018,Detroit,NYJets,17,48
9-10-2018,Oakland,LARams,13,33
9-13-2018,Cincinnati,Baltimore,34,23
9-16-2018,Washington,Indianapolis,9,21
9-16-2018,Atlanta,Carolina,31,24
9-16-2018,GreenBay,Minnesota,29,29
9-16-2018,Buffalo,LAChargers,20,31
9-16-2018,Tennessee,Houston,20,17
9-16-2018,Pittsburgh,KansasCity,37,42
9-16-2018,NYJets,Miami,12,20
9-16-2018,TampaBay,Philadelphia,27,21
9-16-2018,NewOrleans,Cleveland,21,18
9-16-2018,LARams,Arizona,34,0
9-16-2018,SanFrancisco,Detroit,30,27
9-16-2018,Jacksonville,NewEngland,31,20
9-16-2018,Denver,Oakland,20,19
9-16-2018,Dallas,NYGiants,20,13
9-17-2018,Chicago,Seattle,24,17
9-20-2018,Cleveland,NYJets,21,17
9-23-2018,Philadelphia,Indianapolis,20,16
9-23-2018,Carolina,Cincinnati,31,21
9-23-2018,Jacksonville,Tennessee,6,9
9-23-2018,Atlanta,NewOrleans,37,43
9-23-2018,Baltimore,Denver,27,14
9-23-2018,Houston,NYGiants,22,27
9-23-2018,Miami,Oakland,28,20
9-23-2018,Washington,GreenBay,31,17
9-23-2018,Minnesota,Buffalo,6,27
9-23-2018,KansasCity,SanFrancisco,38,27
9-23-2018,LARams,LAChargers,35,23
9-23-2018,Arizona,Chicago,14,16
9-23-2018,Seattle,Dallas,24,13
9-23-2018,Detroit,NewEngland,26,10
9-24-2018,TampaBay,Pittsburgh,27,30
9-27-2018,LARams,Minnesota,38,31
9-30-2018,NewEngland,Miami,38,7
9-30-2018,Indianapolis,Houston,34,37
9-30-2018,Atlanta,Cincinnati,36,37
9-30-2018,GreenBay,Buffalo,22,0
9-30-2018,Dallas,Detroit,26,24
9-30-2018,Jacksonville,NYJets,31,12
9-30-2018,Chicago,TampaBay,48,10
9-30-2018,Tennessee,Philadelphia,26,23
9-30-2018,Arizona,Seattle,17,20
9-30-2018,Oakland,Cleveland,45,42
9-30-2018,LAChargers,SanFrancisco,29,27
9-30-2018,NYGiants,NewOrleans,18,33
9-30-2018,Pittsburgh,Baltimore,14,26
10-01-2018,Denver,KansasCity,23,27
