date,home team,visiting team,home score,visiting score
,,,,
9-05-13,Denver,Baltimore,49,27
9-08-13,Buffalo,NewEngland,21,23
9-08-13,Pittsburgh,Tennessee,9,16
9-08-13,NewOrleans,Atlanta,23,17
9-08-13,NYJets,TampaBay,18,17
9-08-13,Jacksonville,KansasCity,2,28
9-08-13,Chicago,Cincinnati,24,21
9-08-13,Cleveland,Miami,10,23
9-08-13,Carolina,Seattle,7,12
9-08-13,Detroit,Minnesota,34,24
9-08-13,Indianapolis,Oakland,21,17
9-08-13,St.Louis,Arizona,27,24
9-08-13,SanFrancisco,GreenBay,34,28
9-08-13,Dallas,NYGiants,36,31
9-09-13,Washington,Philadelphia,27,33
9-09-13,SanDiego,Houston,28,31
9-12-13,NewEngland,NYJets,13,10
9-15-13,Philadelphia,SanDiego,30,33
9-15-13,Baltimore,Cleveland,14,6
9-15-13,Houston,Tennessee,30,24
9-15-13,Indianapolis,Miami,20,24
9-15-13,Buffalo,Carolina,24,23
9-15-13,Atlanta,St.Louis,31,24
9-15-13,GreenBay,Washington,38,20
9-15-13,KansasCity,Dallas,17,16
9-15-13,Chicago,Minnesota,31,30
9-15-13,TampaBay,NewOrleans,14,16
9-15-13,Arizona,Detroit,25,21
9-15-13,Oakland,Jacksonville,19,9
9-15-13,NYGiants,Denver,23,41
9-15-13,Seattle,SanFrancisco,29,3
9-16-13,Cincinnati,Pittsburgh,20,10
9-19-13,Philadelphia,KansasCity,16,26
9-22-13,Tennessee,SanDiego,20,17
9-22-13,Minnesota,Cleveland,27,31
9-22-13,NewEngland,TampaBay,23,3
9-22-13,Baltimore,Houston,30,9
9-22-13,Dallas,St.Louis,31,7
9-22-13,NewOrleans,Arizona,31,7
9-22-13,Washington,Detroit,20,27
9-22-13,Cincinnati,GreenBay,34,30
9-22-13,Carolina,NYGiants,38,0
9-22-13,Miami,Atlanta,27,23
9-22-13,SanFrancisco,Indianapolis,7,27
9-22-13,Seattle,Jacksonville,45,17
9-22-13,NYJets,Buffalo,27,20
9-22-13,Pittsburgh,Chicago,23,40
9-23-13,Denver,Oakland,37,21
9-26-13,St.Louis,SanFrancisco,11,35
9-29-13,Minnesota,Pittsburgh,34,27
9-29-13,Buffalo,Baltimore,23,20
9-29-13,Cleveland,Cincinnati,17,6
9-29-13,Jacksonville,Indianapolis,3,37
9-29-13,Houston,Seattle,20,23
9-29-13,TampaBay,Arizona,10,13
9-29-13,Detroit,Chicago,40,32
9-29-13,KansasCity,NYGiants,31,7
9-29-13,Tennessee,NYJets,38,13
9-29-13,SanDiego,Dallas,30,21
9-29-13,Oakland,Washington,14,24
9-29-13,Denver,Philadelphia,52,20
9-29-13,Atlanta,NewEngland,23,30
9-30-13,NewOrleans,Miami,38,17
10-03-13,Cleveland,Buffalo,37,24
10-06-13,Tennessee,KansasCity,17,26
10-06-13,Miami,Baltimore,23,26
10-06-13,St.Louis,Jacksonville,34,20
10-06-13,Cincinnati,NewEngland,13,6
10-06-13,Indianapolis,Seattle,34,28
10-06-13,GreenBay,Detroit,22,9
10-06-13,Chicago,NewOrleans,18,26
10-06-13,NYGiants,Philadelphia,21,36
10-06-13,Arizona,Carolina,22,6
10-06-13,Oakland,SanDiego,27,17
10-06-13,Dallas,Denver,48,51
10-06-13,SanFrancisco,Houston,34,3
10-07-13,Atlanta,NYJets,28,30
10-10-13,Chicago,NYGiants,27,21
10-13-13,KansasCity,Oakland,24,7
10-13-13,TampaBay,Philadelphia,20,31
10-13-13,Baltimore,GreenBay,17,19
10-13-13,Cleveland,Detroit,17,31
10-13-13,Minnesota,Carolina,10,35
10-13-13,Houston,St.Louis,13,38
10-13-13,NYJets,Pittsburgh,6,19
10-13-13,Buffalo,Cincinnati,24,27
10-13-13,Seattle,Tennessee,20,13
10-13-13,Denver,Jacksonville,35,19
10-13-13,SanFrancisco,Arizona,32,20
10-13-13,NewEngland,NewOrleans,30,27
10-13-13,Dallas,Washington,31,16
10-14-13,SanDiego,Indianapolis,19,9
10-17-13,Arizona,Seattle,22,34
10-20-13,NYJets,NewEngland,30,27
10-20-13,Jacksonville,SanDiego,6,24
10-20-13,KansasCity,Houston,17,16
10-20-13,Detroit,Cincinnati,24,27
10-20-13,Miami,Buffalo,21,23
10-20-13,Washington,Chicago,45,41
10-20-13,Philadelphia,Dallas,3,17
10-20-13,Carolina,St.Louis,30,15
10-20-13,Atlanta,TampaBay,31,23
10-20-13,Tennessee,SanFrancisco,17,31
10-20-13,GreenBay,Cleveland,31,13
10-20-13,Pittsburgh,Baltimore,19,16
10-20-13,Indianapolis,Denver,39,33
10-21-13,NYGiants,Minnesota,23,7
10-24-13,TampaBay,Carolina,13,31
10-27-13,Jacksonville,SanFrancisco,10,42
10-27-13,Detroit,Dallas,31,30
10-27-13,Philadelphia,NYGiants,7,15
10-27-13,KansasCity,Cleveland,23,17
10-27-13,NewOrleans,Buffalo,35,17
10-27-13,NewEngland,Miami,27,17
10-27-13,Cincinnati,NYJets,49,9
10-27-13,Oakland,Pittsburgh,21,18
10-27-13,Denver,Washington,45,21
10-27-13,Arizona,Atlanta,27,13
10-27-13,Minnesota,GreenBay,31,44
10-28-13,St.Louis,Seattle,9,14
10-31-13,Miami,Cincinnati,22,20
11-03-13,Carolina,Atlanta,34,10
11-03-13,Dallas,Minnesota,27,23
11-03-13,NYJets,NewOrleans,26,20
11-03-13,St.Louis,Tennessee,21,28
11-03-13,Buffalo,KansasCity,13,23
11-03-13,Washington,SanDiego,30,24
11-03-13,Oakland,Philadelphia,20,49
11-03-13,Seattle,TampaBay,27,24
11-03-13,Cleveland,Baltimore,24,18
11-03-13,NewEngland,Pittsburgh,55,31
11-03-13,Houston,Indianapolis,24,27
11-04-13,GreenBay,Chicago,20,27
11-07-13,Minnesota,Washington,34,27
11-10-13,Tennessee,Jacksonville,27,29
11-10-13,GreenBay,Philadelphia,13,27
11-10-13,Pittsburgh,BuffaloBills,23,10
11-10-13,NewYork,Oakland,24,20
11-10-13,Indianapolis,St.Louis,8,38
11-10-13,Atlanta,Seattle,10,33
11-10-13,Baltimore,Cincinnati,20,17
11-10-13,Chicago,Detroit,19,21
11-10-13,SanFrancisco,Carolina,9,10
11-10-13,Arizona,Houston,27,24
11-10-13,SanDiego,Denver,20,28
11-10-13,NewOrleans,Dallas,49,17
11-11-13,TampaBay,Miami,22,19
11-14-13,Tennessee,Indianapolis,27,30
11-17-13,TampaBay,Atlanta,41,28
11-17-13,Buffalo,NYJets,37,14
11-17-13,Pittsburgh,Detroit,37,27
11-17-13,Philadelphia,Washington,24,16
11-17-13,Miami,SanDiego,20,16
11-17-13,Chicago,Baltimore,23,20
11-17-13,Cincinnati,Cleveland,41,20
11-17-13,Houston,Oakland,23,28
11-17-13,Jacksonville,Arizona,14,27
11-17-13,Denver,KansasCity,27,17
11-17-13,Seattle,Minnesota,41,20
11-17-13,NewOrleans,SanFrancisco,23,20
11-17-13,NYGiants,GreenBay,27,13
11-18-13,Carolina,NewEngland,24,20
11-21-13,Atlanta,NewOrleans,13,17
11-24-13,Detroit,TampaBay,21,24
11-24-13,Houston,Jacksonville,6,13
11-24-13,GreenBay,Minnesota,26,26
11-24-13,KansasCity,SanDiego,38,41
11-24-13,Miami,Carolina,16,20
11-24-13,Cleveland,Pittsburgh,11,27
11-24-13,St.Louis,Chicago,42,21
11-24-13,Baltimore,NYJets,19,3
11-24-13,Oakland,Tennessee,19,23
11-24-13,Arizona,Indianapolis,40,11
11-24-13,NYGiants,Dallas,21,24
11-24-13,NewEngland,Denver,34,31
11-25-13,Washington,SanFrancisco,6,27
11-28-13,Detroit,GreenBay,40,10
11-28-13,Dallas,Oakland,31,24
11-28-13,Baltimore,Pittsburgh,22,20
12-01-13,Indianapolis,Tennessee,22,14
12-01-13,KansasCity,Denver,28,35
12-01-13,Cleveland,Jacksonville,28,32
12-01-13,Carolina,TampaBay,27,6
12-01-13,Minnesota,Chicago,23,20
12-01-13,Philadelphia,Arizona,24,21
12-01-13,NYJets,Miami,3,23
12-01-13,Buffalo,Atlanta,31,34
12-01-13,SanFrancisco,St.Louis,23,13
12-01-13,Houston,NewEngland,31,34
12-01-13,SanDiego,Cincinnati,10,17
12-01-13,Washington,NYGiants,17,24
12-02-13,Seattle,NewOrleans,34,7
12-05-13,Jacksonville,Houston,27,20
12-08-13,Washington,KansasCity,10,45
12-08-13,Baltimore,Minnesota,29,26
12-08-13,NewEngland,Cleveland,27,26
12-08-13,NYJets,Oakland,37,27
12-08-13,Cincinnati,Indianapolis,42,28
12-08-13,NewOrleans,Carolina,31,13
12-08-13,Philadelphia,Detroit,34,20
12-08-13,Pittsburgh,Miami,28,34
12-08-13,TampaBay,Buffalo,27,6
12-08-13,Denver,Tennessee,51,28
12-08-13,Arizona,St.Louis,30,10
12-08-13,SanDiego,NYGiants,37,14
12-08-13,SanFrancisco,Seattle,19,17
12-08-13,GreenBay,Atlanta,22,21
12-09-13,Chicago,Dallas,45,28
12-12-13,Denver,SanDiego,20,27
12-15-13,Atlanta,Washington,27,26
12-15-13,TampaBay,SanFrancisco,14,33
12-15-13,Tennessee,Arizona,34,37
12-15-13,St.Louis,NewOrleans,27,16
12-15-13,NYGiants,Seattle,0,23
12-15-13,Cleveland,Chicago,31,38
12-15-13,Indianapolis,Houston,25,3
12-15-13,Jacksonville,Buffalo,20,27
12-15-13,Miami,NewEngland,24,20
12-15-13,Minnesota,Philadelphia,48,30
12-15-13,Carolina,NYJets,30,20
12-15-13,Oakland,KansasCity,31,56
12-15-13,Dallas,GreenBay,36,37
12-15-13,Pittsburgh,Cincinnati,30,20
12-16-13,Detroit,Baltimore,16,18
12-22-13,Buffalo,Miami,19,0
12-22-13,Carolina,NewOrleans,17,13
12-22-13,Washington,Dallas,23,24
12-22-13,St.Louis,TampaBay,23,13
12-22-13,Philadelphia,Chicago,54,11
12-22-13,NYJets,Cleveland,24,13
12-22-13,KansasCity,Indianapolis,7,23
12-22-13,Cincinnati,Minnesota,42,14
12-22-13,Houston,Denver,13,37
12-22-13,Jacksonville,Tennessee,16,20
12-22-13,Seattle,Arizona,10,17
12-22-13,Detroit,NYGiants,20,23
12-22-13,SanDiego,Oakland,26,13
12-22-13,GreenBay,Pittsburgh,31,38
12-22-13,Baltimore,NewEngland,7,41
12-23-13,SanFrancisco,Atlanta,34,24
12-29-13,Atlanta,Carolina,20,21
12-29-13,Chicago,GreenBay,28,33
12-29-13,Tennessee,Houston,16,10
12-29-13,Pittsburgh,Cleveland,20,7
12-29-13,NYGiants,Washington,20,6
12-29-13,Cincinnati,Baltimore,34,17
12-29-13,Indianapolis,Jacksonville,30,10
12-29-13,Dallas,Philadelphia,22,24
12-29-13,Miami,NYJets,7,20
12-29-13,Minnesota,Detroit,14,13
12-29-13,NewEngland,Buffalo,34,20
12-29-13,NewOrleans,TampaBay,42,17
12-29-13,Oakland,Denver,14,34
12-29-13,Arizona,SanFrancisco,20,23
12-29-13,SanDiego,KansasCity,27,24
12-29-13,Seattle,St.Louis,27,9
1-04-14,Indianapolis,KansasCity,45,44
1-04-14,Philadelphia,NewOrleans,24,26
1-05-14,Cincinnati,SanDiego,10,27
1-05-14,GreenBay,SanFrancisco,20,23
1-11-14,Seattle,NewOrleans,23,15
1-11-14,NewEngland,Indianapolis,43,22
1-12-14,Carolina,SanFrancisco,10,23
1-12-14,Denver,SanDiego,24,17
1-19-14,Denver,NewEngland,26,16
1-19-14,Seattle,SanFrancisco,23,17
