date,home team,visiting team,home score,visiting score
,,,,
9/10/2015,NewEngland,Pittsburgh,28,21
9/13/2015,Chicago,GreenBay,23,31
9/13/2015,Houston,KansasCity,20,27
9/13/2015,NYJets,Cleveland,31,10
9/13/2015,Buffalo,Indianapolis,27,14
9/13/2015,Washington,Miami,10,17
9/13/2015,Jacksonville,Carolina,9,20
9/13/2015,St.Louis,Seattle,34,31
9/13/2015,Arizona,NewOrleans,31,19
9/13/2015,SanDiego,Detroit,33,28
9/13/2015,TampaBay,Tennessee,14,42
9/13/2015,Oakland,Cincinnati,13,33
9/13/2015,Denver,Baltimore,19,13
9/13/2015,Dallas,NYGiants,27,26
9/14/2015,Atlanta,Philadelphia,26,24
9/14/2015,SanFrancisco,Minnesota,20,3
9/17/2015,KansasCity,Denver,24,31
9/20/2015,Carolina,Houston,24,17
9/20/2015,NewOrleans,TampaBay,19,26
9/20/2015,Pittsburgh,SanFrancisco,43,18
9/20/2015,Minnesota,Detroit,26,16
9/20/2015,Buffalo,NewEngland,32,40
9/20/2015,Chicago,Arizona,23,48
9/20/2015,Cleveland,Tennessee,28,14
9/20/2015,Cincinnati,SanDiego,24,19
9/20/2015,Washington,St.Louis,24,10
9/20/2015,NYGiants,Atlanta,20,24
9/20/2015,Oakland,Baltimore,37,33
9/20/2015,Jacksonville,Miami,23,20
9/20/2015,Philadelphia,Dallas,10,20
9/20/2015,GreenBay,Seattle,27,17
9/21/2015,Indianapolis,NYJets,7,20
9/24/2015,NYGiants,Washington,32,21
9/27/2015,St.Louis,Pittsburgh,6,12
9/27/2015,Minnesota,SanDiego,31,14
9/27/2015,Houston,TampaBay,19,9
9/27/2015,NYJets,Philadelphia,17,24
9/27/2015,Carolina,NewOrleans,27,22
9/27/2015,NewEngland,Jacksonville,51,17
9/27/2015,Baltimore,Cincinnati,24,28
9/27/2015,Cleveland,Oakland,20,27
9/27/2015,Tennessee,Indianapolis,33,35
9/27/2015,Dallas,Atlanta,28,39
9/27/2015,Arizona,SanFrancisco,47,7
9/27/2015,Seattle,Chicago,26,0
9/27/2015,Miami,Buffalo,14,41
9/27/2015,Detroit,Denver,12,24
9/28/2015,GreenBay,KansasCity,38,28
10/1/2015,Pittsburgh,Baltimore,20,23
10/4/2015,NYJets,Miami,27,14
10/4/2015,Indianapolis,Jacksonville,16,13
10/4/2015,Atlanta,Houston,48,21
10/4/2015,TampaBay,Carolina,23,37
10/4/2015,Buffalo,NYGiants,10,24
10/4/2015,Chicago,Oakland,22,20
10/4/2015,Washington,Philadelphia,23,20
10/4/2015,Cincinnati,KansasCity,36,21
10/4/2015,SanDiego,Cleveland,30,27
10/4/2015,SanFrancisco,GreenBay,3,17
10/4/2015,Denver,Minnesota,23,20
10/4/2015,Arizona,St.Louis,22,24
10/4/2015,NewOrleans,Dallas,26,20
10/5/2015,Seattle,Detroit,13,10
10/8/2015,Houston,Indianapolis,20,27
10/11/2015,TampaBay,Jacksonville,38,31
10/11/2015,Tennessee,Buffalo,13,14
10/11/2015,Baltimore,Cleveland,30,33
10/11/2015,Atlanta,Washington,25,19
10/11/2015,KansasCity,Chicago,17,18
