date,home team,visiting team,home score,visiting score
11-13-14,Miami,Buffalo,22,9
11-16-14,Cleveland,Houston,7,23
11-16-14,Chicago,Minnesota,21,13
11-16-14,GreenBay,Philadelphia,53,20
11-16-14,KansasCity,Seattle,24,20
11-16-14,Carolina,Atlanta,17,19
11-16-14,NewOrleans,Cincinnati,10,27
11-16-14,Washington,TampaBay,7,27
11-16-14,St.Louis,Denver,22,7
11-16-14,NYGiants,SanFrancisco,10,16
11-16-14,SanDiego,Oakland,13,6
11-16-14,Arizona,Detroit,14,6
11-16-14,Indianapolis,NewEngland,20,42
11-17-14,Tennessee,Pittsburgh,24,27
11-20-14,Oakland,KansasCity,24,20
11-23-14,Atlanta,Cleveland,24,26
11-23-14,Philadelphia,Tennessee,43,24
11-23-14,NewEngland,Detroit,34,9
11-23-14,Minnesota,GreenBay,21,24
11-23-14,Indianapolis,Jacksonville,23,3
11-23-14,Houston,Cincinnati,13,22
11-23-14,Chicago,TampaBay,21,13
11-23-14,Seattle,Arizona,19,3
11-23-14,SanDiego,St.Louis,27,24
11-23-14,Denver,Miami,39,36
11-23-14,SanFrancisco,Washington,17,13
11-23-14,NYGiants,Dallas,28,31
11-24-14,NewOrleans,Baltimore,27,34
11-24-14,Buffalo,NYJets,38,3
11-27-14,Detroit,Chicago,34,17
11-27-14,Dallas,Philadelphia,10,33
11-27-14,SanFrancisco,Seattle,3,19
11-30-14,Indianapolis,Washington,49,27
11-30-14,Houston,Tennessee,45,21
11-30-14,Buffalo,Cleveland,26,10
11-30-14,Baltimore,SanDiego,33,34
11-30-14,Jacksonville,NYGiants,25,24
11-30-14,TampaBay,Cincinnati,13,14
11-30-14,St.Louis,Oakland,52,0
11-30-14,Pittsburgh,NewOrleans,32,35
11-30-14,Minnesota,Carolina,31,13
11-30-14,Atlanta,Arizona,29,18
11-30-14,GreenBay,NewEngland,26,21
11-30-14,KansasCity,Denver,16,29
12-01-14,NYJets,Miami,13,16
12-04-14,Chicago,Dallas,28,41
12-07-14,Miami,Baltimore,13,28
12-07-14,Cincinnati,Pittsburgh,21,42
12-07-14,Cleveland,Indianapolis,24,25
12-07-14,Jacksonville,Houston,13,27
12-07-14,Tennessee,NYGiants,7,36
12-07-14,NewOrleans,Carolina,10,41
12-07-14,Detroit,TampaBay,34,17
12-07-14,Washington,St.Louis,0,24
12-07-14,Minnesota,NYJets,30,24
12-07-14,Denver,Buffalo,24,17
12-07-14,Arizona,KansasCity,17,14
12-07-14,Oakland,SanFrancisco,24,13
12-07-14,Philadelphia,Seattle,14,24
12-07-14,SanDiego,NewEngland,14,23
12-08-14,GreenBay,Atlanta,43,37
12-11-14,St.Louis,Arizona,6,12
12-14-14,KansasCity,Oakland,31,13
12-14-14,Baltimore,Jacksonville,20,12
12-14-14,Atlanta,Pittsburgh,20,27
12-14-14,Indianapolis,Houston,17,10
12-14-14,Cleveland,Cincinnati,0,30
12-14-14,NewEngland,Miami,41,13
12-14-14,Carolina,TampaBay,19,17
12-14-14,NYGiants,Washington,24,13
12-14-14,Buffalo,GreenBay,21,13
12-14-14,Detroit,Minnesota,16,14
12-14-14,Tennessee,NYJets,11,16
12-14-14,SanDiego,Denver,10,22
12-14-14,Seattle,SanFrancisco,17,7
12-14-14,Philadelphia,Dallas,27,38
12-15-14,Chicago,NewOrleans,15,31
12-18-14,Jacksonville,Tennessee,21,13
12-20-14,SanFrancisco,SanDiego,35,38
12-20-14,Washington,Philadelphia,27,24
12-21-14,Miami,Minnesota,37,35
12-21-14,TampaBay,GreenBay,3,20
12-21-14,Chicago,Detroit,14,20
12-21-14,NewOrleans,Atlanta,14,30
12-21-14,NYJets,NewEngland,16,17
12-21-14,Pittsburgh,KansasCity,20,12
12-21-14,Carolina,Cleveland,17,13
12-21-14,Houston,Baltimore,25,13
12-21-14,St.Louis,NYGiants,27,37
12-21-14,Oakland,Buffalo,26,24
12-21-14,Dallas,Indianapolis,42,7
12-21-14,Arizona,Seattle,6,35
12-22-14,Cincinnati,Denver,37,28
12-28-14,GreenBay,Detroit,30,20
12-28-14,Houston,Jacksonville,23,17
12-28-14,Pittsburgh,Cincinnati,27,17
12-28-14,Tennessee,Indianapolis,10,27
12-28-14,Baltimore,Cleveland,20,10
12-28-14,NewEngland,Buffalo,9,17
12-28-14,Miami,NYJets,24,37
12-28-14,Atlanta,Carolina,3,34
12-28-14,Minnesota,Chicago,13,9
12-28-14,KansasCity,SanDiego,19,7
12-28-14,NYGiants,Philadelphia,26,34
12-28-14,Washington,Dallas,17,44
12-28-14,TampaBay,NewOrleans,20,23
12-28-14,Seattle,St.Louis,20,6
12-28-14,SanFrancisco,Arizona,20,17
12-28-14,Denver,Oakland,47,14
1-03-15,Pittsburgh,Baltimore,17,30
1-03-15,Carolina,Arizona,27,16
1-04-15,Dallas,Detroit,24,20
1-04-15,Indianapolis,Cincinnati,26,10
1-10-15,NewEngland,Baltimore,35,31
1-10-15,Seattle,Carolina,31,17
1-11-15,GreenBay,Dallas,26,21
1-11-15,Denver,Indianapolis,13,24
1-18-15,Seattle,GreenBay,28,22
1-18-15,NewEngland,Indianapolis,45,7
