date,home team,visiting team,home score,visiting score
,,,,
9-05-2019,Chicago,GreenBay,3,10
9-08-2019,Minnesota,Atlanta,28,12
9-08-2019,Philadelphia,Washington,32,27
9-08-2019,NYJets,Buffalo,16,17
9-08-2019,Miami,Baltimore,10,59
9-08-2019,TampaBay,SanFrancisco,17,31
9-08-2019,Jacksonville,KansasCity,26,40
9-08-2019,Cleveland,Tennessee,13,43
9-08-2019,Carolina,LARams,27,30
9-08-2019,Arizona,Detroit,27,27
9-08-2019,Seattle,Cincinnati,21,20
9-08-2019,LAChargers,Indianapolis,30,24
9-08-2019,Dallas,NYGiants,35,17
9-08-2019,NewEngland,Pittsburgh,33,3
9-09-2019,NewOrleans,Houston,30,28
9-09-2019,Oakland,Denver,24,16
9-12-2019,Carolina,TampaBay,14,20
9-15-2019,Tennessee,Indianapolis,17,19
9-15-2019,Detroit,LAChargers,13,10
9-15-2019,NYGiants,Buffalo,14,28
9-15-2019,Baltimore,Arizona,23,17
9-15-2019,Miami,NewEngland,0,43
9-15-2019,Washington,Dallas,21,31
9-15-2019,Houston,Jacksonville,13,12
9-15-2019,Pittsburgh,Seattle,26,28
9-15-2019,Cincinnati,SanFrancisco,17,41
9-15-2019,GreenBay,Minnesota,21,16
9-15-2019,Oakland,KansasCity,10,28
9-15-2019,LARams,NewOrleans,27,9
9-15-2019,Denver,Chicago,14,16
9-15-2019,Atlanta,Philadelphia,24,20
9-16-2019,NYJets,Cleveland,3,23
9-19-2019,Jacksonville,Tennessee,20,7
9-22-2019,GreenBay,Denver,27,16
9-22-2019,Philadelphia,Detroit,24,27
9-22-2019,KansasCity,Baltimore,33,28
9-22-2019,Buffalo,Cincinnati,21,17
9-22-2019,Indianapolis,Atlanta,27,24
9-22-2019,Minnesota,Oakland,34,14
9-22-2019,NewEngland,NYJets,30,14
9-22-2019,Dallas,Miami,31,6
9-22-2019,TampaBay,NYGiants,31,32
9-22-2019,Arizona,Carolina,20,38
9-22-2019,Seattle,NewOrleans,27,33
9-22-2019,LAChargers,Houston,20,27
9-22-2019,SanFrancisco,Pittsburgh,24,20
9-22-2019,Cleveland,LARams,13,20
9-23-2019,Washington,Chicago,15,31
9-26-2019,GreenBay,Philadelphia,27,34
9-29-2019,Houston,Carolina,10,16
9-29-2019,Baltimore,Cleveland,25,40
9-29-2019,NYGiants,Washington,24,3
9-29-2019,Miami,LAChargers,10,30
9-29-2019,Indianapolis,Oakland,24,31
9-29-2019,Detroit,KansasCity,30,34
9-29-2019,Buffalo,NewEngland,10,16
9-29-2019,Atlanta,Tennessee,10,24
9-29-2019,LARams,TampaBay,40,55
9-29-2019,Arizona,Seattle,10,27
9-29-2019,Chicago,Minnesota,16,6
9-29-2019,Denver,Jacksonville,24,26
9-29-2019,NewOrleans,Dallas,12,10
9-30-2019,Pittsburgh,Cincinnati,27,3
10-03-2019,Seattle,LARams,30,29
10-06-2019,Pittsburgh,Baltimore,23,26
10-06-2019,Oakland,Chicago,24,21
10-06-2019,Cincinnati,Arizona,23,26
10-06-2019,Carolina,Jacksonville,34,27
10-06-2019,NYGiants,Minnesota,10,28
10-06-2019,Washington,NewEngland,7,33
10-06-2019,Philadelphia,NYJets,31,6
10-06-2019,NewOrleans,TampaBay,31,24
10-06-2019,Houston,Atlanta,53,32
10-06-2019,Tennessee,Buffalo,7,14
10-06-2019,LAChargers,Denver,13,20
10-06-2019,Dallas,GreenBay,24,34
10-06-2019,KansasCity,Indianapolis,13,19
10-07-2019,SanFrancisco,Cleveland,31,3
10-10-2019,NewEngland,NYGiants,35,14
10-13-2019,,TampaBay,,26
10-13-2019,Baltimore,Cincinnati,23,17
10-13-2019,Cleveland,Seattle,28,32
10-13-2019,KansasCity,Houston,24,31
10-13-2019,Jacksonville,NewOrleans,6,13
10-13-2019,Minnesota,Philadelphia,38,20
10-13-2019,Miami,Washington,16,17
10-13-2019,LARams,SanFrancisco,7,20
10-13-2019,Arizona,Atlanta,34,33
10-13-2019,NYJets,Dallas,24,22
