date,home team,visiting team,home score,visiting score
,,,,
9/8/2016,Denver,Carolina,21,20
9/11/2016,Atlanta,TampaBay,24,31
9/11/2016,Tennessee,Minnesota,16,25
9/11/2016,Philadelphia,Cleveland,29,10
9/11/2016,NYJets,Cincinnati,22,23
9/11/2016,NewOrleans,Oakland,34,35
9/11/2016,KansasCity,LAChargers,33,27
9/11/2016,Baltimore,Buffalo,13,7
9/11/2016,Houston,Chicago,23,14
9/11/2016,Jacksonville,GreenBay,23,27
9/11/2016,Seattle,Miami,12,10
9/11/2016,Dallas,NYGiants,19,20
9/11/2016,Indianapolis,Detroit,35,39
9/11/2016,Arizona,NewEngland,21,23
9/12/2016,Washington,Pittsburgh,16,38
9/12/2016,SanFrancisco,LARams,28,0
9/15/2016,Buffalo,NYJets,31,37
9/18/2016,Detroit,Tennessee,15,16
9/18/2016,Houston,KansasCity,19,12
9/18/2016,NewEngland,Miami,31,24
9/18/2016,Cleveland,Baltimore,20,25
9/18/2016,Pittsburgh,Cincinnati,24,16
9/18/2016,Washington,Dallas,23,27
9/18/2016,NYGiants,NewOrleans,16,13
9/18/2016,Carolina,SanFrancisco,46,27
9/18/2016,Arizona,TampaBay,40,7
9/18/2016,LARams,Seattle,9,3
9/18/2016,Denver,Indianapolis,34,20
9/18/2016,Oakland,Atlanta,28,35
9/18/2016,LAChargers,Jacksonville,38,14
9/18/2016,Minnesota,GreenBay,17,14
9/19/2016,Chicago,Philadelphia,14,29
9/22/2016,NewEngland,Houston,27,0
9/25/2016,Cincinnati,Denver,17,29
9/25/2016,Tennessee,Oakland,10,17
9/25/2016,Buffalo,Arizona,33,18
9/25/2016,Jacksonville,Baltimore,17,19
9/25/2016,Miami,Cleveland,30,24
9/25/2016,NYGiants,Washington,27,29
9/25/2016,GreenBay,Detroit,34,27
9/25/2016,Carolina,Minnesota,10,22
9/25/2016,Seattle,SanFrancisco,37,18
9/25/2016,TampaBay,LARams,32,37
9/25/2016,Philadelphia,Pittsburgh,34,3
9/25/2016,KansasCity,NYJets,24,3
9/25/2016,Indianapolis,LAChargers,26,22
9/25/2016,Dallas,Chicago,31,17
9/26/2016,NewOrleans,Atlanta,32,45
9/29/2016,Cincinnati,Miami,22,7
10/2/2016,Jacksonville,Indianapolis,30,27
10/2/2016,Washington,Cleveland,31,20
10/2/2016,NewEngland,Buffalo,0,16
10/2/2016,NYJets,Seattle,17,27
10/2/2016,Atlanta,Carolina,48,33
10/2/2016,Chicago,Detroit,17,14
10/2/2016,Houston,Tennessee,27,20
10/2/2016,Baltimore,Oakland,27,28
10/2/2016,TampaBay,Denver,7,27
10/2/2016,SanFrancisco,Dallas,17,24
10/2/2016,LAChargers,NewOrleans,34,35
10/2/2016,Arizona,LARams,13,17
10/2/2016,Pittsburgh,KansasCity,43,7
10/3/2016,Minnesota,NYGiants,24,10
10/6/2016,SanFrancisco,Arizona,21,33
10/9/2016,Minnesota,Houston,31,13
10/9/2016,Miami,Tennessee,17,30
10/9/2016,Cleveland,NewEngland,13,33
10/9/2016,Pittsburgh,NYJets,31,13
10/9/2016,Baltimore,Washington,10,16
10/9/2016,Detroit,Philadelphia,24,23
10/9/2016,Indianapolis,Chicago,29,23
10/9/2016,Denver,Atlanta,16,23
10/9/2016,LARams,Buffalo,19,30
10/9/2016,Oakland,LAChargers,34,31
10/9/2016,Dallas,Cincinnati,28,14
10/9/2016,GreenBay,NYGiants,23,16
10/10/2016,Carolina,TampaBay,14,17
10/13/2016,LAChargers,Denver,21,13
10/16/2016,NewEngland,Cincinnati,35,17
10/16/2016,NYGiants,Baltimore,27,23
10/16/2016,NewOrleans,Carolina,41,38
10/16/2016,Miami,Pittsburgh,30,15
10/16/2016,Chicago,Jacksonville,16,17
10/16/2016,Buffalo,SanFrancisco,45,16
10/16/2016,Detroit,LARams,31,28
10/16/2016,Tennessee,Cleveland,28,26
10/16/2016,Washington,Philadelphia,27,20
10/16/2016,Oakland,KansasCity,10,26
10/16/2016,Seattle,Atlanta,26,24
10/16/2016,GreenBay,Dallas,16,30
10/16/2016,Houston,Indianapolis,26,23
10/17/2016,Arizona,NYJets,28,3
10/20/2016,GreenBay,Chicago,26,10
10/23/2016,NYGiants,LARams,17,10
10/23/2016,Philadelphia,Minnesota,21,10
10/23/2016,KansasCity,NewOrleans,27,21
10/23/2016,Detroit,Washington,20,17
10/23/2016,Cincinnati,Cleveland,31,17
10/23/2016,Miami,Buffalo,28,25
10/23/2016,Jacksonville,Oakland,16,33
10/23/2016,Tennessee,Indianapolis,26,34
10/23/2016,NYJets,Baltimore,24,16
10/23/2016,Atlanta,LAChargers,30,33
10/23/2016,SanFrancisco,TampaBay,17,34
10/23/2016,Pittsburgh,NewEngland,16,27
10/23/2016,Arizona,Seattle,6,6
10/24/2016,Denver,Houston,27,9
10/27/2016,Tennessee,Jacksonville,36,22
10/30/2016,Cincinnati,Washington,27,27
10/30/2016,Atlanta,GreenBay,33,32
10/30/2016,Houston,Detroit,20,13
10/30/2016,NewOrleans,Seattle,25,20
10/30/2016,Buffalo,NewEngland,25,41
10/30/2016,Cleveland,NYJets,28,31
10/30/2016,TampaBay,Oakland,24,30
10/30/2016,Indianapolis,KansasCity,14,30
10/30/2016,Denver,LAChargers,27,19
10/30/2016,Carolina,Arizona,30,20
10/30/2016,Dallas,Philadelphia,29,23
10/31/2016,Chicago,Minnesota,20,10
11/3/2016,TampaBay,Atlanta,28,43
11/6/2016,KansasCity,Jacksonville,19,14
11/6/2016,Minnesota,Detroit,16,22
11/6/2016,NYGiants,Philadelphia,28,23
11/6/2016,Cleveland,Dallas,10,35
11/6/2016,Miami,NYJets,27,23
11/6/2016,Baltimore,Pittsburgh,21,14
11/6/2016,SanFrancisco,NewOrleans,23,41
11/6/2016,LARams,Carolina,10,13
11/6/2016,GreenBay,Indianapolis,26,31
11/6/2016,LAChargers,Tennessee,43,35
11/6/2016,Oakland,Denver,30,20
11/7/2016,Seattle,Buffalo,31,25
11/10/2016,Baltimore,Cleveland,28,7
11/13/2016,Jacksonville,Houston,21,24
11/13/2016,Carolina,KansasCity,17,20
11/13/2016,NewOrleans,Denver,23,25
11/13/2016,NYJets,LARams,6,9
11/13/2016,Philadelphia,Atlanta,24,15
