,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
6,Arizona,28,4136,1732,27,3327,1711,78.1
1,Atlanta,11,4725,1928,23,3806,1417,52.9
21,Baltimore,23,4100,1463,25,4308,1515,53.1
10,Buffalo,12,3036,2630,23,3882,1600,49.7
15,Carolina,29,3685,1814,29,4012,1875,43
29,Chicago,31,3969,1735,28,3987,1567,57.1
24,Cincinnati,17,3942,1769,11,3598,1950,45.7
31,Cleveland,25,3264,1712,21,4380,1626,59.1
5,Dallas,15,3631,2396,20,4167,1336,47.1
22,Denver,25,3685,1484,17,4200,1926,79.4
20,Detroit,15,4111,1310,30,4120,1881,48.6
4,GreenBay,17,4199,1701,27,2972,2085,62.4
28,Houston,24,3176,1859,14,3898,1581,49.2
8,Indianapolis,22,4202,1628,20,3800,1812,64.7
25,Jacksonville,29,3728,1631,13,3444,1703,39.2
13,KansasCity,17,3740,1748,14,3975,1701,49.3
9,LAChargers,35,4198,1510,28,3724,1430,77.6
32,LARams,29,2951,1252,20,3848,2654,66.5
7,LasVegas,14,4051,1922,33,3958,1938,52.3
17,Miami,23,3500,1824,18,3582,2130,58.7
23,Minnesota,16,3836,1205,18,3732,1660,66.8
3,NewEngland,11,4308,1872,19,3612,1487,52.5
2,NewOrleans,24,5074,1742,25,4018,1417,79.6
26,NYGiants,27,3879,1412,27,4291,1465,46.7
30,NYJets,34,3466,1802,13,3996,2283,59.5
16,Philadelphia,20,3585,1813,18,4307,1413,60.8
11,Pittsburgh,18,4202,1760,17,3226,1595,65.2
27,SanFrancisco,25,2911,2019,22,4267,1672,60.5
18,Seattle,18,4124,1591,25,3875,2247,37.5
19,TampaBay,27,3926,1616,21,4130,1916,56.1
14,Tennessee,18,3541,2187,28,3365,1518,65.9
12,Washington,21,4758,1696,26,3832,1652,72.4
