,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary
0,22.0,3783.0,2009.0,14.0,3204.0,1805.0,52.1,25.0,4714.0,1361.0,23.0,3868.0,1461.0,70.5,53.0,32.0,1.0
0,17.0,3582.0,2223.0,17.0,3609.0,1783.0,50.8,19.0,3229.0,2054.0,20.0,3918.0,1775.0,73.3,7.0,14.0,0.0
0,31.0,4426.0,1453.0,19.0,3778.0,2229.0,60.4,16.0,3115.0,1662.0,17.0,4510.0,1922.0,60.8,13.0,20.0,0.0
0,18.0,4751.0,2153.0,38.0,3113.0,1753.0,41.5,13.0,3733.0,1795.0,20.0,3865.0,1442.0,44.6,24.0,34.0,0.0
0,15.0,4498.0,1569.0,31.0,3737.0,1728.0,38.3,21.0,3108.0,2130.0,24.0,3625.0,1809.0,50.5,13.0,19.0,0.0
0,23.0,3792.0,2305.0,23.0,3123.0,1649.0,59.6,28.0,3554.0,1901.0,32.0,4223.0,1883.0,55.7,31.0,3.0,1.0
0,15.0,3961.0,1703.0,23.0,3543.0,2051.0,42.1,33.0,3731.0,1685.0,22.0,4276.0,1937.0,64.1,35.0,14.0,1.0
0,41.0,4845.0,1521.0,25.0,3315.0,1494.0,83.0,35.0,3650.0,1819.0,20.0,3470.0,2315.0,68.3,37.0,26.0,1.0
0,15.0,3225.0,3296.0,36.0,2886.0,1528.0,57.7,30.0,3652.0,1517.0,16.0,4225.0,1812.0,55.7,23.0,17.0,1.0
0,28.0,3554.0,1901.0,32.0,4223.0,1883.0,55.7,20.0,3791.0,2200.0,25.0,3721.0,1921.0,71.9,28.0,32.0,0.0
