,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,14.0,3250.0,2762.0,29.0,3531.0,1612.0,72.0,13.0,4261.0,1917.0,24.0,2970.0,1304.0,63.7,36.0,16.0,1.0,2014
0,23.0,4553.0,1498.0,26.0,3888.0,1861.0,78.3,30.0,4764.0,1818.0,29.0,3592.0,2265.0,79.7,37.0,34.0,1.0,2014
0,27.0,3400.0,1635.0,26.0,3645.0,1792.0,54.4,20.0,3244.0,1804.0,25.0,3557.0,1937.0,59.3,6.0,34.0,0.0,2014
0,21.0,4825.0,1752.0,34.0,3890.0,1681.0,48.5,23.0,3465.0,1728.0,28.0,4478.0,1894.0,68.7,30.0,27.0,1.0,2014
0,36.0,4356.0,1992.0,27.0,3706.0,1109.0,68.2,26.0,3001.0,1633.0,14.0,3810.0,1911.0,52.0,34.0,17.0,1.0,2014
0,24.0,2946.0,2280.0,17.0,4019.0,2125.0,60.9,29.0,3275.0,1240.0,24.0,4230.0,1803.0,43.8,19.0,14.0,1.0,2014
0,20.0,3819.0,2019.0,25.0,3837.0,1669.0,38.4,26.0,3421.0,2147.0,31.0,4031.0,1650.0,26.7,16.0,23.0,0.0,2014
0,29.0,3792.0,1441.0,26.0,3850.0,2162.0,74.8,23.0,3614.0,1482.0,21.0,4049.0,1605.0,45.2,20.0,23.0,0.0,2014
0,22.0,3352.0,2161.0,27.0,3623.0,1919.0,62.6,31.0,4047.0,1691.0,20.0,3899.0,2033.0,64.1,17.0,6.0,1.0,2014
0,17.0,3182.0,1918.0,25.0,3607.0,1276.0,51.7,26.0,3412.0,1447.0,16.0,3773.0,2195.0,38.0,10.0,26.0,0.0,2014
0,23.0,3729.0,1872.0,19.0,3572.0,1943.0,47.3,13.0,4121.0,1727.0,30.0,3292.0,1703.0,43.9,33.0,20.0,1.0,2014
0,33.0,3297.0,1375.0,19.0,3990.0,1722.0,71.5,23.0,3511.0,2036.0,26.0,3669.0,1814.0,40.1,14.0,20.0,0.0,2014
0,25.0,3784.0,2354.0,25.0,4152.0,1739.0,57.3,22.0,3063.0,2176.0,25.0,4084.0,1819.0,45.9,17.0,28.0,0.0,2014
0,20.0,4661.0,1785.0,14.0,3252.0,2036.0,68.4,31.0,4894.0,1612.0,22.0,3979.0,1412.0,51.8,31.0,24.0,1.0,2014
0,20.0,4030.0,1422.0,28.0,4238.0,1771.0,76.2,28.0,4272.0,1603.0,18.0,3427.0,1986.0,61.1,35.0,14.0,1.0,2014
0,17.0,3808.0,1308.0,13.0,3746.0,1489.0,62.5,23.0,4098.0,1367.0,25.0,3861.0,1765.0,63.6,18.0,17.0,1.0,2014
0,20.0,3819.0,2019.0,25.0,3837.0,1669.0,38.4,21.0,4825.0,1752.0,34.0,3890.0,1681.0,48.5,26.0,6.0,1.0,2014
0,23.0,3511.0,2036.0,26.0,3669.0,1814.0,40.1,20.0,4030.0,1422.0,28.0,4238.0,1771.0,76.2,24.0,7.0,1.0,2014
0,23.0,3614.0,1482.0,21.0,4049.0,1605.0,45.2,23.0,3729.0,1872.0,19.0,3572.0,1943.0,47.3,29.0,10.0,1.0,2014
0,31.0,4047.0,1691.0,20.0,3899.0,2033.0,64.1,26.0,3001.0,1633.0,14.0,3810.0,1911.0,52.0,41.0,10.0,1.0,2014
0,26.0,3412.0,1447.0,16.0,3773.0,2195.0,38.0,25.0,3784.0,2354.0,25.0,4152.0,1739.0,57.3,10.0,26.0,0.0,2014
0,28.0,4272.0,1603.0,18.0,3427.0,1986.0,61.1,17.0,3808.0,1308.0,13.0,3746.0,1489.0,62.5,14.0,25.0,0.0,2014
0,20.0,3244.0,1804.0,25.0,3557.0,1937.0,59.3,13.0,4121.0,1727.0,30.0,3292.0,1703.0,43.9,7.0,30.0,0.0,2014
0,23.0,3465.0,1728.0,28.0,4478.0,1894.0,68.7,30.0,4764.0,1818.0,29.0,3592.0,2265.0,79.7,26.0,24.0,1.0,2014
0,26.0,3421.0,2147.0,31.0,4031.0,1650.0,26.7,23.0,4553.0,1498.0,26.0,3888.0,1861.0,78.3,24.0,10.0,1.0,2014
0,33.0,3297.0,1375.0,19.0,3990.0,1722.0,71.5,27.0,3400.0,1635.0,26.0,3645.0,1792.0,54.4,17.0,19.0,0.0,2014
0,23.0,4098.0,1367.0,25.0,3861.0,1765.0,63.6,14.0,3250.0,2762.0,29.0,3531.0,1612.0,72.0,30.0,21.0,1.0,2014
0,29.0,3275.0,1240.0,24.0,4230.0,1803.0,43.8,22.0,3352.0,2161.0,27.0,3623.0,1919.0,62.6,14.0,30.0,0.0,2014
0,13.0,4261.0,1917.0,24.0,2970.0,1304.0,63.7,24.0,2946.0,2280.0,17.0,4019.0,2125.0,60.9,31.0,24.0,1.0,2014
0,20.0,4661.0,1785.0,14.0,3252.0,2036.0,68.4,17.0,3182.0,1918.0,25.0,3607.0,1276.0,51.7,24.0,17.0,1.0,2014
0,22.0,3063.0,2176.0,25.0,4084.0,1819.0,45.9,29.0,3792.0,1441.0,26.0,3850.0,2162.0,74.8,20.0,28.0,0.0,2014
0,31.0,4894.0,1612.0,22.0,3979.0,1412.0,51.8,36.0,4356.0,1992.0,27.0,3706.0,1109.0,68.2,27.0,30.0,0.0,2014
0,23.0,4553.0,1498.0,26.0,3888.0,1861.0,78.3,33.0,3297.0,1375.0,19.0,3990.0,1722.0,71.5,56.0,14.0,1.0,2014
0,23.0,3614.0,1482.0,21.0,4049.0,1605.0,45.2,23.0,4098.0,1367.0,25.0,3861.0,1765.0,63.6,10.0,22.0,0.0,2014
0,27.0,3400.0,1635.0,26.0,3645.0,1792.0,54.4,25.0,3784.0,2354.0,25.0,4152.0,1739.0,57.3,31.0,34.0,0.0,2014
0,36.0,4356.0,1992.0,27.0,3706.0,1109.0,68.2,31.0,4047.0,1691.0,20.0,3899.0,2033.0,64.1,37.0,34.0,1.0,2014
0,28.0,4272.0,1603.0,18.0,3427.0,1986.0,61.1,22.0,3352.0,2161.0,27.0,3623.0,1919.0,62.6,30.0,17.0,1.0,2014
0,30.0,4764.0,1818.0,29.0,3592.0,2265.0,79.7,20.0,3244.0,1804.0,25.0,3557.0,1937.0,59.3,20.0,9.0,1.0,2014
