,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,25,3685,1484,17,4200,1926,79.4,29,3685,1814,29,4012,1875,43.0,21.0,20.0,1.0,2016
0,11,4725,1928,23,3806,1417,52.9,27,3926,1616,21,4130,1916,56.1,24.0,31.0,0.0,2016
0,18,3541,2187,28,3365,1518,65.9,16,3836,1205,18,3732,1660,66.8,16.0,25.0,0.0,2016
0,20,3585,1813,18,4307,1413,60.8,25,3264,1712,21,4380,1626,59.1,29.0,10.0,1.0,2016
0,34,3466,1802,13,3996,2283,59.5,17,3942,1769,11,3598,1950,45.7,22.0,23.0,0.0,2016
0,24,5074,1742,25,4018,1417,79.6,14,4051,1922,33,3958,1938,52.3,34.0,35.0,0.0,2016
0,17,3740,1748,14,3975,1701,49.3,35,4198,1510,28,3724,1430,77.6,33.0,27.0,1.0,2016
0,23,4100,1463,25,4308,1515,53.1,12,3036,2630,23,3882,1600,49.7,13.0,7.0,1.0,2016
0,24,3176,1859,14,3898,1581,49.2,31,3969,1735,28,3987,1567,57.1,23.0,14.0,1.0,2016
0,29,3728,1631,13,3444,1703,39.2,17,4199,1701,27,2972,2085,62.4,23.0,27.0,0.0,2016
0,18,4124,1591,25,3875,2247,37.5,23,3500,1824,18,3582,2130,58.7,12.0,10.0,1.0,2016
0,15,3631,2396,20,4167,1336,47.1,27,3879,1412,27,4291,1465,46.7,19.0,20.0,0.0,2016
0,22,4202,1628,20,3800,1812,64.7,15,4111,1310,30,4120,1881,48.6,35.0,39.0,0.0,2016
0,28,4136,1732,27,3327,1711,78.1,11,4308,1872,19,3612,1487,52.5,21.0,23.0,0.0,2016
0,21,4758,1696,26,3832,1652,72.4,18,4202,1760,17,3226,1595,65.2,16.0,38.0,0.0,2016
0,25,2911,2019,22,4267,1672,60.5,29,2951,1252,20,3848,2654,66.5,28.0,0.0,1.0,2016
0,12,3036,2630,23,3882,1600,49.7,34,3466,1802,13,3996,2283,59.5,31.0,37.0,0.0,2016
0,15,4111,1310,30,4120,1881,48.6,18,3541,2187,28,3365,1518,65.9,15.0,16.0,0.0,2016
0,24,3176,1859,14,3898,1581,49.2,17,3740,1748,14,3975,1701,49.3,19.0,12.0,1.0,2016
0,11,4308,1872,19,3612,1487,52.5,23,3500,1824,18,3582,2130,58.7,31.0,24.0,1.0,2016
