,date,home team,visiting team,home score,visiting score,Win Binary
1,9-08-16,Denver,Carolina,21,20,1.0
2,9-11-16,Atlanta,TampaBay,24,31,0.0
3,9-11-16,Tennessee,Minnesota,16,25,0.0
4,9-11-16,Philadelphia,Cleveland,29,10,1.0
5,9-11-16,NYJets,Cincinnati,22,23,0.0
6,9-11-16,NewOrleans,Oakland,34,35,0.0
7,9-11-16,KansasCity,SanDiego,33,27,1.0
8,9-11-16,Baltimore,Buffalo,13,7,1.0
9,9-11-16,Houston,Chicago,23,14,1.0
10,9-11-16,Jacksonville,GreenBay,23,27,0.0
11,9-11-16,Seattle,Miami,12,10,1.0
12,9-11-16,Dallas,NYGiants,19,20,0.0
13,9-11-16,Indianapolis,Detroit,35,39,0.0
14,9-11-16,Arizona,NewEngland,21,23,0.0
15,9-12-16,Washington,Pittsburgh,16,38,0.0
16,9-12-16,SanFrancisco,LosAngeles,28,0,1.0
17,9-15-16,Buffalo,NYJets,31,37,0.0
18,9-18-16,Detroit,Tennessee,15,16,0.0
19,9-18-16,Houston,KansasCity,19,12,1.0
20,9-18-16,NewEngland,Miami,31,24,1.0
21,9-18-16,Cleveland,Baltimore,20,25,0.0
22,9-18-16,Pittsburgh,Cincinnati,24,16,1.0
23,9-18-16,Washington,Dallas,23,27,0.0
24,9-18-16,NYGiants,NewOrleans,16,13,1.0
25,9-18-16,Carolina,SanFrancisco,46,27,1.0
26,9-18-16,Arizona,TampaBay,40,7,1.0
27,9-18-16,LosAngeles,Seattle,9,3,1.0
28,9-18-16,Denver,Indianapolis,34,20,1.0
29,9-18-16,Oakland,Atlanta,28,35,0.0
30,9-18-16,SanDiego,Jacksonville,38,14,1.0
31,9-18-16,Minnesota,GreenBay,17,14,1.0
32,9-19-16,Chicago,Philadelphia,14,29,0.0
33,9-22-16,NewEngland,Houston,27,0,1.0
34,9-25-16,Cincinnati,Denver,17,29,0.0
35,9-25-16,Tennessee,Oakland,10,17,0.0
36,9-25-16,Buffalo,Arizona,33,18,1.0
37,9-25-16,Jacksonville,Baltimore,17,19,0.0
38,9-25-16,Miami,Cleveland,30,24,1.0
39,9-25-16,NYGiants,Washington,27,29,0.0
40,9-25-16,GreenBay,Detroit,34,27,1.0
41,9-25-16,Carolina,Minnesota,10,22,0.0
42,9-25-16,Seattle,SanFrancisco,37,18,1.0
43,9-25-16,TampaBay,LosAngeles,32,37,0.0
44,9-25-16,Philadelphia,Pittsburgh,34,3,1.0
45,9-25-16,KansasCity,NYJets,24,3,1.0
46,9-25-16,Indianapolis,SanDiego,26,22,1.0
47,9-25-16,Dallas,Chicago,31,17,1.0
48,9-26-16,NewOrleans,Atlanta,32,45,0.0
49,9-29-16,Cincinnati,Miami,22,7,1.0
50,10-02-16,Jacksonville,Indianapolis,30,27,1.0
51,10-02-16,Washington,Cleveland,31,20,1.0
52,10-02-16,NewEngland,Buffalo,0,16,0.0
53,10-02-16,NYJets,Seattle,17,27,0.0
54,10-02-16,Atlanta,Carolina,48,33,1.0
55,10-02-16,Chicago,Detroit,17,14,1.0
56,10-02-16,Houston,Tennessee,27,20,1.0
57,10-02-16,Baltimore,Oakland,27,28,0.0
58,10-02-16,TampaBay,Denver,7,27,0.0
59,10-02-16,SanFrancisco,Dallas,17,24,0.0
60,10-02-16,SanDiego,NewOrleans,34,35,0.0
61,10-02-16,Arizona,LosAngeles,13,17,0.0
62,10-02-16,Pittsburgh,KansasCity,43,7,1.0
63,10-03-16,Minnesota,NYGiants,24,10,1.0
64,10-06-16,SanFrancisco,Arizona,21,33,0.0
65,10-09-16,Minnesota,Houston,31,13,1.0
