,date,home team,visiting team,home score,visiting score,Win Binary
1,9-05-13,Denver,Baltimore,49,27,1.0
2,9-08-13,Buffalo,NewEngland,21,23,0.0
3,9-08-13,Pittsburgh,Tennessee,9,16,0.0
4,9-08-13,NewOrleans,Atlanta,23,17,1.0
5,9-08-13,NYJets,TampaBay,18,17,1.0
6,9-08-13,Jacksonville,KansasCity,2,28,0.0
7,9-08-13,Chicago,Cincinnati,24,21,1.0
8,9-08-13,Cleveland,Miami,10,23,0.0
9,9-08-13,Carolina,Seattle,7,12,0.0
10,9-08-13,Detroit,Minnesota,34,24,1.0
11,9-08-13,Indianapolis,Oakland,21,17,1.0
12,9-08-13,St.Louis,Arizona,27,24,1.0
13,9-08-13,SanFrancisco,GreenBay,34,28,1.0
14,9-08-13,Dallas,NYGiants,36,31,1.0
15,9-09-13,Washington,Philadelphia,27,33,0.0
16,9-09-13,SanDiego,Houston,28,31,0.0
17,9-12-13,NewEngland,NYJets,13,10,1.0
18,9-15-13,Philadelphia,SanDiego,30,33,0.0
19,9-15-13,Baltimore,Cleveland,14,6,1.0
20,9-15-13,Houston,Tennessee,30,24,1.0
21,9-15-13,Indianapolis,Miami,20,24,0.0
22,9-15-13,Buffalo,Carolina,24,23,1.0
23,9-15-13,Atlanta,St.Louis,31,24,1.0
24,9-15-13,GreenBay,Washington,38,20,1.0
25,9-15-13,KansasCity,Dallas,17,16,1.0
26,9-15-13,Chicago,Minnesota,31,30,1.0
27,9-15-13,TampaBay,NewOrleans,14,16,0.0
28,9-15-13,Arizona,Detroit,25,21,1.0
29,9-15-13,Oakland,Jacksonville,19,9,1.0
30,9-15-13,NYGiants,Denver,23,41,0.0
31,9-15-13,Seattle,SanFrancisco,29,3,1.0
32,9-16-13,Cincinnati,Pittsburgh,20,10,1.0
33,9-19-13,Philadelphia,KansasCity,16,26,0.0
34,9-22-13,Tennessee,SanDiego,20,17,1.0
35,9-22-13,Minnesota,Cleveland,27,31,0.0
36,9-22-13,NewEngland,TampaBay,23,3,1.0
37,9-22-13,Baltimore,Houston,30,9,1.0
38,9-22-13,Dallas,St.Louis,31,7,1.0
39,9-22-13,NewOrleans,Arizona,31,7,1.0
40,9-22-13,Washington,Detroit,20,27,0.0
41,9-22-13,Cincinnati,GreenBay,34,30,1.0
42,9-22-13,Carolina,NYGiants,38,0,1.0
43,9-22-13,Miami,Atlanta,27,23,1.0
44,9-22-13,SanFrancisco,Indianapolis,7,27,0.0
45,9-22-13,Seattle,Jacksonville,45,17,1.0
46,9-22-13,NYJets,Buffalo,27,20,1.0
47,9-22-13,Pittsburgh,Chicago,23,40,0.0
48,9-23-13,Denver,Oakland,37,21,1.0
49,9-26-13,St.Louis,SanFrancisco,11,35,0.0
50,9-29-13,Minnesota,Pittsburgh,34,27,1.0
51,9-29-13,Buffalo,Baltimore,23,20,1.0
52,9-29-13,Cleveland,Cincinnati,17,6,1.0
53,9-29-13,Jacksonville,Indianapolis,3,37,0.0
54,9-29-13,Houston,Seattle,20,23,0.0
55,9-29-13,TampaBay,Arizona,10,13,0.0
56,9-29-13,Detroit,Chicago,40,32,1.0
57,9-29-13,KansasCity,NYGiants,31,7,1.0
58,9-29-13,Tennessee,NYJets,38,13,1.0
59,9-29-13,SanDiego,Dallas,30,21,1.0
60,9-29-13,Oakland,Washington,14,24,0.0
61,9-29-13,Denver,Philadelphia,52,20,1.0
62,9-29-13,Atlanta,NewEngland,23,30,0.0
63,9-30-13,NewOrleans,Miami,38,17,1.0
64,10-03-13,Cleveland,Buffalo,37,24,1.0
65,10-06-13,Tennessee,KansasCity,17,26,0.0
66,10-06-13,Miami,Baltimore,23,26,0.0
67,10-06-13,St.Louis,Jacksonville,34,20,1.0
68,10-06-13,Cincinnati,NewEngland,13,6,1.0
69,10-06-13,Indianapolis,Seattle,34,28,1.0
70,10-06-13,GreenBay,Detroit,22,9,1.0
71,10-06-13,Chicago,NewOrleans,18,26,0.0
72,10-06-13,NYGiants,Philadelphia,21,36,0.0
73,10-06-13,Arizona,Carolina,22,6,1.0
74,10-06-13,Oakland,SanDiego,27,17,1.0
75,10-06-13,Dallas,Denver,48,51,0.0
76,10-06-13,SanFrancisco,Houston,34,3,1.0
77,10-07-13,Atlanta,NYJets,28,30,0.0
78,10-10-13,Chicago,NYGiants,27,21,1.0
79,10-13-13,KansasCity,Oakland,24,7,1.0
80,10-13-13,TampaBay,Philadelphia,20,31,0.0
81,10-13-13,Baltimore,GreenBay,17,19,0.0
82,10-13-13,Cleveland,Detroit,17,31,0.0
83,10-13-13,Minnesota,Carolina,10,35,0.0
84,10-13-13,Houston,St.Louis,13,38,0.0
85,10-13-13,NYJets,Pittsburgh,6,19,0.0
86,10-13-13,Buffalo,Cincinnati,24,27,0.0
87,10-13-13,Seattle,Tennessee,20,13,1.0
88,10-13-13,Denver,Jacksonville,35,19,1.0
89,10-13-13,SanFrancisco,Arizona,32,20,1.0
90,10-13-13,NewEngland,NewOrleans,30,27,1.0
91,10-13-13,Dallas,Washington,31,16,1.0
92,10-14-13,SanDiego,Indianapolis,19,9,1.0
93,10-17-13,Arizona,Seattle,22,34,0.0
94,10-20-13,NYJets,NewEngland,30,27,1.0
95,10-20-13,Jacksonville,SanDiego,6,24,0.0
96,10-20-13,KansasCity,Houston,17,16,1.0
97,10-20-13,Detroit,Cincinnati,24,27,0.0
98,10-20-13,Miami,Buffalo,21,23,0.0
99,10-20-13,Washington,Chicago,45,41,1.0
100,10-20-13,Philadelphia,Dallas,3,17,0.0
101,10-20-13,Carolina,St.Louis,30,15,1.0
102,10-20-13,Atlanta,TampaBay,31,23,1.0
103,10-20-13,Tennessee,SanFrancisco,17,31,0.0
104,10-20-13,GreenBay,Cleveland,31,13,1.0
105,10-20-13,Pittsburgh,Baltimore,19,16,1.0
106,10-20-13,Indianapolis,Denver,39,33,1.0
107,10-21-13,NYGiants,Minnesota,23,7,1.0
108,10-24-13,TampaBay,Carolina,13,31,0.0
109,10-27-13,Jacksonville,SanFrancisco,10,42,0.0
110,10-27-13,Detroit,Dallas,31,30,1.0
111,10-27-13,Philadelphia,NYGiants,7,15,0.0
112,10-27-13,KansasCity,Cleveland,23,17,1.0
113,10-27-13,NewOrleans,Buffalo,35,17,1.0
114,10-27-13,NewEngland,Miami,27,17,1.0
115,10-27-13,Cincinnati,NYJets,49,9,1.0
116,10-27-13,Oakland,Pittsburgh,21,18,1.0
117,10-27-13,Denver,Washington,45,21,1.0
118,10-27-13,Arizona,Atlanta,27,13,1.0
119,10-27-13,Minnesota,GreenBay,31,44,0.0
120,10-28-13,St.Louis,Seattle,9,14,0.0
121,10-31-13,Miami,Cincinnati,22,20,1.0
122,11-03-13,Carolina,Atlanta,34,10,1.0
123,11-03-13,Dallas,Minnesota,27,23,1.0
124,11-03-13,NYJets,NewOrleans,26,20,1.0
125,11-03-13,St.Louis,Tennessee,21,28,0.0
126,11-03-13,Buffalo,KansasCity,13,23,0.0
127,11-03-13,Washington,SanDiego,30,24,1.0
128,11-03-13,Oakland,Philadelphia,20,49,0.0
129,11-03-13,Seattle,TampaBay,27,24,1.0
130,11-03-13,Cleveland,Baltimore,24,18,1.0
131,11-03-13,NewEngland,Pittsburgh,55,31,1.0
132,11-03-13,Houston,Indianapolis,24,27,0.0
133,11-04-13,GreenBay,Chicago,20,27,0.0
134,11-07-13,Minnesota,Washington,34,27,1.0
135,11-10-13,Tennessee,Jacksonville,27,29,0.0
136,11-10-13,GreenBay,Philadelphia,13,27,0.0
137,11-10-13,Pittsburgh,BuffaloBills,23,10,1.0
138,11-10-13,NewYork,Oakland,24,20,1.0
139,11-10-13,Indianapolis,St.Louis,8,38,0.0
140,11-10-13,Atlanta,Seattle,10,33,0.0
141,11-10-13,Baltimore,Cincinnati,20,17,1.0
142,11-10-13,Chicago,Detroit,19,21,0.0
143,11-10-13,SanFrancisco,Carolina,9,10,0.0
144,11-10-13,Arizona,Houston,27,24,1.0
145,11-10-13,SanDiego,Denver,20,28,0.0
146,11-10-13,NewOrleans,Dallas,49,17,1.0
147,11-11-13,TampaBay,Miami,22,19,1.0
148,11-14-13,Tennessee,Indianapolis,27,30,0.0
149,11-17-13,TampaBay,Atlanta,41,28,1.0
150,11-17-13,Buffalo,NYJets,37,14,1.0
151,11-17-13,Pittsburgh,Detroit,37,27,1.0
152,11-17-13,Philadelphia,Washington,24,16,1.0
153,11-17-13,Miami,SanDiego,20,16,1.0
154,11-17-13,Chicago,Baltimore,23,20,1.0
155,11-17-13,Cincinnati,Cleveland,41,20,1.0
156,11-17-13,Houston,Oakland,23,28,0.0
157,11-17-13,Jacksonville,Arizona,14,27,0.0
158,11-17-13,Denver,KansasCity,27,17,1.0
159,11-17-13,Seattle,Minnesota,41,20,1.0
160,11-17-13,NewOrleans,SanFrancisco,23,20,1.0
161,11-17-13,NYGiants,GreenBay,27,13,1.0
162,11-18-13,Carolina,NewEngland,24,20,1.0
163,11-21-13,Atlanta,NewOrleans,13,17,0.0
164,11-24-13,Detroit,TampaBay,21,24,0.0
165,11-24-13,Houston,Jacksonville,6,13,0.0
166,11-24-13,GreenBay,Minnesota,26,26,0.5
167,11-24-13,KansasCity,SanDiego,38,41,0.0
168,11-24-13,Miami,Carolina,16,20,0.0
169,11-24-13,Cleveland,Pittsburgh,11,27,0.0
170,11-24-13,St.Louis,Chicago,42,21,1.0
171,11-24-13,Baltimore,NYJets,19,3,1.0
172,11-24-13,Oakland,Tennessee,19,23,0.0
173,11-24-13,Arizona,Indianapolis,40,11,1.0
174,11-24-13,NYGiants,Dallas,21,24,0.0
175,11-24-13,NewEngland,Denver,34,31,1.0
176,11-25-13,Washington,SanFrancisco,6,27,0.0
177,11-28-13,Detroit,GreenBay,40,10,1.0
178,11-28-13,Dallas,Oakland,31,24,1.0
179,11-28-13,Baltimore,Pittsburgh,22,20,1.0
180,12-01-13,Indianapolis,Tennessee,22,14,1.0
181,12-01-13,KansasCity,Denver,28,35,0.0
182,12-01-13,Cleveland,Jacksonville,28,32,0.0
183,12-01-13,Carolina,TampaBay,27,6,1.0
184,12-01-13,Minnesota,Chicago,23,20,1.0
185,12-01-13,Philadelphia,Arizona,24,21,1.0
186,12-01-13,NYJets,Miami,3,23,0.0
187,12-01-13,Buffalo,Atlanta,31,34,0.0
188,12-01-13,SanFrancisco,St.Louis,23,13,1.0
189,12-01-13,Houston,NewEngland,31,34,0.0
190,12-01-13,SanDiego,Cincinnati,10,17,0.0
191,12-01-13,Washington,NYGiants,17,24,0.0
192,12-02-13,Seattle,NewOrleans,34,7,1.0
193,12-05-13,Jacksonville,Houston,27,20,1.0
194,12-08-13,Washington,KansasCity,10,45,0.0
195,12-08-13,Baltimore,Minnesota,29,26,1.0
196,12-08-13,NewEngland,Cleveland,27,26,1.0
197,12-08-13,NYJets,Oakland,37,27,1.0
198,12-08-13,Cincinnati,Indianapolis,42,28,1.0
199,12-08-13,NewOrleans,Carolina,31,13,1.0
200,12-08-13,Philadelphia,Detroit,34,20,1.0
201,12-08-13,Pittsburgh,Miami,28,34,0.0
202,12-08-13,TampaBay,Buffalo,27,6,1.0
203,12-08-13,Denver,Tennessee,51,28,1.0
204,12-08-13,Arizona,St.Louis,30,10,1.0
205,12-08-13,SanDiego,NYGiants,37,14,1.0
206,12-08-13,SanFrancisco,Seattle,19,17,1.0
207,12-08-13,GreenBay,Atlanta,22,21,1.0
208,12-09-13,Chicago,Dallas,45,28,1.0
209,12-12-13,Denver,SanDiego,20,27,0.0
210,12-15-13,Atlanta,Washington,27,26,1.0
211,12-15-13,TampaBay,SanFrancisco,14,33,0.0
212,12-15-13,Tennessee,Arizona,34,37,0.0
213,12-15-13,St.Louis,NewOrleans,27,16,1.0
214,12-15-13,NYGiants,Seattle,0,23,0.0
215,12-15-13,Cleveland,Chicago,31,38,0.0
216,12-15-13,Indianapolis,Houston,25,3,1.0
217,12-15-13,Jacksonville,Buffalo,20,27,0.0
218,12-15-13,Miami,NewEngland,24,20,1.0
219,12-15-13,Minnesota,Philadelphia,48,30,1.0
220,12-15-13,Carolina,NYJets,30,20,1.0
221,12-15-13,Oakland,KansasCity,31,56,0.0
222,12-15-13,Dallas,GreenBay,36,37,0.0
223,12-15-13,Pittsburgh,Cincinnati,30,20,1.0
224,12-16-13,Detroit,Baltimore,16,18,0.0
225,12-22-13,Buffalo,Miami,19,0,1.0
226,12-22-13,Carolina,NewOrleans,17,13,1.0
227,12-22-13,Washington,Dallas,23,24,0.0
228,12-22-13,St.Louis,TampaBay,23,13,1.0
229,12-22-13,Philadelphia,Chicago,54,11,1.0
