,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,home_Year,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,visiting_Year,home score,visiting score,Win Binary
0,12,4418,1889,18,4020,1836,70.6,2017,11,4104,1903,26,3952,1890,65.1,2017,27.0,42.0,0.0
0,16,2825,2017,25,3688,1994,56.4,2017,24,3182,1702,20,3749,1887,55.6,2017,21.0,12.0,1.0
0,22,2811,1788,22,3376,1730,32.4,2017,18,3990,1847,16,3429,1665,67.1,2017,17.0,23.0,0.0
0,28,3278,1842,16,3799,1747,83.5,2017,23,3593,2262,33,2718,1860,59.2,2017,7.0,29.0,0.0
0,27,3751,1448,23,3420,2146,56.0,2017,20,3737,2115,31,3637,1267,78.5,2017,17.0,30.0,0.0
0,22,4183,1221,32,3892,1800,65.2,2017,25,3640,1386,21,3541,1432,50.0,2017,35.0,23.0,1.0
0,25,3191,1833,21,3828,1420,58.6,2017,28,3631,1554,14,3858,1743,50.5,2017,16.0,26.0,0.0
0,23,3122,1366,14,3379,2046,44.8,2017,17,3030,1856,34,3421,1780,46.7,2017,0.0,20.0,0.0
0,41,3228,1714,13,3684,1566,32.6,2017,20,4380,1667,22,3217,1693,66.6,2017,18.0,21.0,0.0
0,21,3831,1953,28,3475,1957,55.7,2017,15,2892,1661,20,3946,1927,43.3,2017,46.0,9.0,1.0
0,25,3167,1724,22,3789,1793,66.0,2017,17,3657,1629,25,3347,1824,61.9,2017,17.0,9.0,1.0
0,23,3925,1662,20,3764,1861,35.4,2017,22,3077,2102,21,3665,1409,51.5,2017,3.0,23.0,0.0
0,22,3141,2170,21,3425,1664,69.9,2017,22,3479,1549,19,4038,1933,47.5,2017,19.0,3.0,1.0
0,14,3753,1957,19,3078,1337,72.8,2017,18,4189,2070,25,3597,1787,62.5,2017,29.0,19.0,1.0
0,34,3333,1852,17,3210,1430,30.9,2017,15,4431,1595,27,3156,2098,61.1,2017,24.0,21.0,1.0
0,23,3122,1366,14,3379,2046,44.8,2017,28,3278,1842,16,3799,1747,83.5,2017,9.0,13.0,0.0
0,23,3593,2262,33,2718,1860,59.2,2017,25,3191,1833,21,3828,1420,58.6,2017,16.0,37.0,0.0
0,17,3030,1856,34,3421,1780,46.7,2017,41,3228,1714,13,3684,1566,32.6,2017,24.0,10.0,1.0
0,22,3077,2102,21,3665,1409,51.5,2017,16,2825,2017,25,3688,1994,56.4,2017,9.0,3.0,1.0
0,18,4189,2070,25,3597,1787,62.5,2017,12,4418,1889,18,4020,1836,70.6,2017,20.0,36.0,0.0
0,15,2892,1661,20,3946,1927,43.3,2017,25,3640,1386,21,3541,1432,50.0,2017,13.0,16.0,0.0
0,11,4104,1903,26,3952,1890,65.1,2017,20,3737,2115,31,3637,1267,78.5,2017,27.0,20.0,1.0
0,20,4380,1667,22,3217,1693,66.6,2017,14,3753,1957,19,3078,1337,72.8,2017,26.0,9.0,1.0
0,27,4366,1448,26,4169,1880,52.0,2017,22,2811,1788,22,3376,1730,32.4,2017,29.0,7.0,1.0
0,15,4431,1595,27,3156,2098,61.1,2017,29,3535,1388,15,3603,1768,43.5,2017,17.0,19.0,0.0
0,28,3631,1554,14,3858,1743,50.5,2017,24,3182,1702,20,3749,1887,55.6,2017,45.0,20.0,1.0
0,21,3831,1953,28,3475,1957,55.7,2017,27,3751,1448,23,3420,2146,56.0,2017,20.0,27.0,0.0
0,34,3333,1852,17,3210,1430,30.9,2017,22,3141,2170,21,3425,1664,69.9,2017,42.0,17.0,1.0
0,17,3657,1629,25,3347,1824,61.9,2017,23,3925,1662,20,3764,1861,35.4,2017,12.0,9.0,1.0
0,18,3990,1847,16,3429,1665,67.1,2017,25,3167,1724,22,3789,1793,66.0,2017,34.0,23.0,1.0
0,22,3479,1549,19,4038,1933,47.5,2017,22,4183,1221,32,3892,1800,65.2,2017,10.0,24.0,0.0
0,23,3925,1662,20,3764,1861,35.4,2017,21,3831,1953,28,3475,1957,55.7,2017,39.0,41.0,0.0
0,23,3593,2262,33,2718,1860,59.2,2017,17,3030,1856,34,3421,1780,46.7,2017,44.0,7.0,1.0
0,15,2892,1661,20,3946,1927,43.3,2017,41,3228,1714,13,3684,1566,32.6,2017,31.0,28.0,1.0
0,22,2811,1788,22,3376,1730,32.4,2017,20,4380,1667,22,3217,1693,66.6,2017,23.0,17.0,1.0
0,24,3182,1702,20,3749,1887,55.6,2017,29,3535,1388,15,3603,1768,43.5,2017,20.0,6.0,1.0
0,16,2825,2017,25,3688,1994,56.4,2017,34,3333,1852,17,3210,1430,30.9,2017,26.0,16.0,1.0
0,12,4418,1889,18,4020,1836,70.6,2017,28,3278,1842,16,3799,1747,83.5,2017,36.0,33.0,1.0
0,22,3077,2102,21,3665,1409,51.5,2017,18,4189,2070,25,3597,1787,62.5,2017,13.0,34.0,0.0
0,14,3753,1957,19,3078,1337,72.8,2017,27,4366,1448,26,4169,1880,52.0,2017,34.0,17.0,1.0
0,22,4183,1221,32,3892,1800,65.2,2017,18,3990,1847,16,3429,1665,67.1,2017,26.0,30.0,0.0
0,20,3737,2115,31,3637,1267,78.5,2017,22,3479,1549,19,4038,1933,47.5,2017,27.0,24.0,1.0
0,25,3191,1833,21,3828,1420,58.6,2017,17,3657,1629,25,3347,1824,61.9,2017,33.0,27.0,1.0
0,15,4431,1595,27,3156,2098,61.1,2017,11,4104,1903,26,3952,1890,65.1,2017,10.0,24.0,0.0
0,25,3167,1724,22,3789,1793,66.0,2017,23,3122,1366,14,3379,2046,44.8,2017,27.0,24.0,1.0
0,27,3751,1448,23,3420,2146,56.0,2017,28,3631,1554,14,3858,1743,50.5,2017,27.0,10.0,1.0
0,25,3640,1386,21,3541,1432,50.0,2017,22,3141,2170,21,3425,1664,69.9,2017,17.0,28.0,0.0
0,25,3167,1724,22,3789,1793,66.0,2017,22,2811,1788,22,3376,1730,32.4,2017,35.0,14.0,1.0
0,29,3535,1388,15,3603,1768,43.5,2017,18,4189,2070,25,3597,1787,62.5,2017,0.0,20.0,0.0
0,12,4418,1889,18,4020,1836,70.6,2017,22,3077,2102,21,3665,1409,51.5,2017,30.0,33.0,0.0
0,22,3141,2170,21,3425,1664,69.9,2017,21,3831,1953,28,3475,1957,55.7,2017,30.0,35.0,0.0
0,14,3753,1957,19,3078,1337,72.8,2017,22,4183,1221,32,3892,1800,65.2,2017,7.0,14.0,0.0
0,28,3278,1842,16,3799,1747,83.5,2017,25,3191,1833,21,3828,1420,58.6,2017,57.0,14.0,1.0
0,24,3182,1702,20,3749,1887,55.6,2017,23,3593,2262,33,2718,1860,59.2,2017,23.0,20.0,1.0
0,41,3228,1714,13,3684,1566,32.6,2017,23,3122,1366,14,3379,2046,44.8,2017,7.0,31.0,0.0
0,17,3030,1856,34,3421,1780,46.7,2017,20,4380,1667,22,3217,1693,66.6,2017,9.0,26.0,0.0
0,18,3990,1847,16,3429,1665,67.1,2017,16,2825,2017,25,3688,1994,56.4,2017,17.0,23.0,0.0
0,27,4366,1448,26,4169,1880,52.0,2017,22,3479,1549,19,4038,1933,47.5,2017,25.0,23.0,1.0
0,15,4431,1595,27,3156,2098,61.1,2017,20,3737,2115,31,3637,1267,78.5,2017,24.0,26.0,0.0
0,25,3640,1386,21,3541,1432,50.0,2017,23,3925,1662,20,3764,1861,35.4,2017,18.0,15.0,1.0
0,34,3333,1852,17,3210,1430,30.9,2017,28,3631,1554,14,3858,1743,50.5,2017,16.0,10.0,1.0
0,17,3657,1629,25,3347,1824,61.9,2017,15,2892,1661,20,3946,1927,43.3,2017,46.0,18.0,1.0
0,11,4104,1903,26,3952,1890,65.1,2017,27,3751,1448,23,3420,2146,56.0,2017,29.0,20.0,1.0
0,27,4366,1448,26,4169,1880,52.0,2017,12,4418,1889,18,4020,1836,70.6,2017,14.0,19.0,0.0
0,22,3479,1549,19,4038,1933,47.5,2017,15,4431,1595,27,3156,2098,61.1,2017,22.0,27.0,0.0
