Player,Tm,QBR
Josh Rosen,ARI,24.1
Matt Ryan,ATL,65.7
Joe Flacco,BAL,54.8
Josh Allen,BUF,49.8
Cam Newton,CAR,53.2
Mitchell Trubisky *,CHI,71
Andy Dalton,CIN,59.4
Baker Mayfield,CLE,51.2
Dak Prescott *,DAL,55.2
Case Keenum,DEN,44.5
Matthew Stafford,DET,51.3
Aaron Rodgers *,GNB,58
Deshaun Watson *,HOU,61.8
Andrew Luck *,IND,69.6
Blake Bortles,JAX,43.4
Patrick Mahomes *+,KAN,80.3
Philip Rivers*,LAC,67.8
Jared Goff*,LAR,63.6
Derek Carr,LAS,46.5
Ryan Tannehill,MIA,33.2
Kirk Cousins,MIN,59.5
Tom Brady *,NE,68.4
Drew Brees*,NOR,79.2
Eli Manning,NYG,49.1
Sam Darnold,NYJ,45.9
Carson Wentz,PHI,62
Ben Roethlisberger,PIT,69.6
Nick Mullens,SAN,51.7
Russell Wilson *,SEA,63.3
Jameis Winston,TAM,66.2
Marcus Mariota,TEN,53.2
Alex Smith,WAS,46.9
