,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
0,Arizona,28,4136,1732,28,3365,1518,52.9
1,Atlanta,11,4725,1928,22,4267,1672,79.6
2,Baltimore,23,4100,1463,28,3724,1430,52.5
3,Buffalo,12,3036,2630,18,3582,2130,62.4
4,Carolina,29,3685,1814,27,4291,1465,47.1
5,Chicago,31,3969,1735,11,3598,1950,78.1
6,Cincinnati,17,3942,1769,20,3800,1812,52.3
7,Cleveland,25,3264,1712,13,3996,2283,64.7
8,Dallas,15,3631,2396,20,4167,1336,77.6
9,Denver,25,3685,1484,27,2972,2085,49.7
10,Detroit,15,4111,1310,14,3975,1701,65.2
11,GreenBay,17,4199,1701,25,4308,1515,72.4
12,Houston,24,3176,1859,17,3226,1595,49.3
13,Indianapolis,22,4202,1628,17,4200,1926,65.9
14,Jacksonville,29,3728,1631,13,3444,1703,43.0
15,KansasCity,17,3740,1748,33,3958,1938,60.8
16,LAChargers,35,4198,1510,28,3987,1567,58.7
17,LARams,29,2951,1252,18,3732,1660,37.5
18,LasVegas,14,4051,1922,30,4120,1881,56.1
19,Miami,23,3500,1824,25,3875,2247,48.6
20,Minnesota,16,3836,1205,27,3327,1711,53.1
21,NYGiants,27,3879,1412,25,4018,1417,45.7
22,NYJets,34,3466,1802,14,3898,1581,39.2
23,NewEngland,11,4308,1872,23,3806,1417,79.4
24,NewOrleans,24,5074,1742,21,4380,1626,66.8
25,Philadelphia,20,3585,1813,26,3832,1652,46.7
26,Pittsburgh,18,4202,1760,23,3882,1600,60.5
27,SanFrancisco,25,2911,2019,20,3848,2654,49.2
28,Seattle,18,4124,1591,19,3612,1487,57.1
29,TampaBay,27,3926,1616,29,4012,1875,59.5
30,Tennessee,18,3541,2187,18,4307,1413,59.1
31,Washington,21,4758,1696,21,4130,1916,66.5
