,date,home team,visiting team,home score,visiting score,Win Binary
0,9-06-18,Philadelphia,Atlanta,18,12,1.0
1,9-09-18,Cleveland,Pittsburgh,21,21,0.5
2,9-09-18,Minnesota,SanFrancisco,24,16,1.0
3,9-09-18,Indianapolis,Cincinnati,23,34,0.0
4,9-09-18,Baltimore,Buffalo,47,3,1.0
5,9-09-18,NYGiants,Jacksonville,15,20,0.0
6,9-09-18,NewOrleans,TampaBay,40,48,0.0
7,9-09-18,NewEngland,Houston,27,20,1.0
8,9-09-18,Miami,Tennessee,27,20,1.0
9,9-09-18,LAChargers,KansasCity,28,38,0.0
10,9-09-18,Denver,Seattle,27,24,1.0
11,9-09-18,Carolina,Dallas,16,8,1.0
12,9-09-18,Arizona,Washington,6,24,0.0
13,9-09-18,GreenBay,Chicago,24,23,1.0
14,9-10-18,Detroit,NYJets,17,48,0.0
15,9-10-18,LasVegas,LARams,13,33,0.0
16,9-13-18,Cincinnati,Baltimore,34,23,1.0
17,9-16-18,Washington,Indianapolis,9,21,0.0
18,9-16-18,Atlanta,Carolina,31,24,1.0
19,9-16-18,GreenBay,Minnesota,29,29,0.5
20,9-16-18,Buffalo,LAChargers,20,31,0.0
21,9-16-18,Tennessee,Houston,20,17,1.0
22,9-16-18,Pittsburgh,KansasCity,37,42,0.0
23,9-16-18,NYJets,Miami,12,20,0.0
24,9-16-18,TampaBay,Philadelphia,27,21,1.0
25,9-16-18,NewOrleans,Cleveland,21,18,1.0
26,9-16-18,LARams,Arizona,34,0,1.0
27,9-16-18,SanFrancisco,Detroit,30,27,1.0
28,9-16-18,Jacksonville,NewEngland,31,20,1.0
29,9-16-18,Denver,LasVegas,20,19,1.0
30,9-16-18,Dallas,NYGiants,20,13,1.0
31,9-17-18,Chicago,Seattle,24,17,1.0
32,9-20-18,Cleveland,NYJets,21,17,1.0
33,9-23-18,Philadelphia,Indianapolis,20,16,1.0
34,9-23-18,Carolina,Cincinnati,31,21,1.0
35,9-23-18,Jacksonville,Tennessee,6,9,0.0
36,9-23-18,Atlanta,NewOrleans,37,43,0.0
37,9-23-18,Baltimore,Denver,27,14,1.0
38,9-23-18,Houston,NYGiants,22,27,0.0
39,9-23-18,Miami,LasVegas,28,20,1.0
40,9-23-18,Washington,GreenBay,31,17,1.0
41,9-23-18,Minnesota,Buffalo,6,27,0.0
42,9-23-18,KansasCity,SanFrancisco,38,27,1.0
43,9-23-18,LARams,LAChargers,35,23,1.0
44,9-23-18,Arizona,Chicago,14,16,0.0
45,9-23-18,Seattle,Dallas,24,13,1.0
46,9-23-18,Detroit,NewEngland,26,10,1.0
47,9-24-18,TampaBay,Pittsburgh,27,30,0.0
48,9-27-18,LARams,Minnesota,38,31,1.0
49,9-30-18,NewEngland,Miami,38,7,1.0
