Player,Tm,QBR
Kyler Murray *,ARI,68.9
Matt Ryan,ATL,66.9
Lamar Jackson,BAL,73.7
Josh Allen *,BUF,81.7
Teddy Bridgewater,CAR,64.1
Mitchell Trubisky,CHI,61.3
Joe Burrow,CIN,56.2
Baker Mayfield,CLE,72.2
Andy Dalton,DAL,53.8
Drew Lock,DEN,48.9
Matthew Stafford,DET,68.4
Aaron Rodgers *+,GNB,84.3
Deshaun Watson *,HOU,70.5
Philip Rivers,IND,62.5
Gardner Minshew II,JAX,51.7
Patrick Mahomes *,KAN,82.9
Justin Herbert,LAC,69.6
Jared Goff,LAR,58.4
Derek Carr,LAS,71
Ryan Fitzpatrick,MIA,76.9
Kirk Cousins,MIN,63.2
Cam Newton,NE,47
Drew Brees,NO,74.5
Daniel Jones,NYG,61.4
Sam Darnold,NYJ,40.2
Carson Wentz,PHI,49.6
Ben Roethlisberger,PIT,60.1
Nick Mullens,SAN,43.6
Russell Wilson *,SEA,73.5
Tom Brady,TAM,72.6
Ryan Tannehill,TEN,78.3
Alex Smith,WAS,34.8
