,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,14,3250,2762,24,2970,1304,71.5,13,4261,1917,27,3623,1919,78.3,36.0,16.0,1.0,2014
0,23,4553,1498,28,4478,1894,68.4,30,4764,1818,17,4019,2125,74.8,37.0,34.0,1.0,2014
0,27,3400,1635,25,3861,1765,45.2,20,3244,1804,19,3572,1943,54.4,6.0,34.0,0.0,2014
0,21,4825,1752,21,4049,1605,68.7,23,3465,1728,29,3592,2265,38.4,30.0,27.0,1.0,2014
0,36,4356,1992,28,4238,1771,64.1,26,3001,1633,20,3899,2033,26.7,34.0,17.0,1.0,2014
0,24,2946,2280,13,3746,1489,45.9,29,3275,1240,14,3810,1911,40.1,19.0,14.0,1.0,2014
0,20,3819,2019,22,3979,1412,68.2,26,3421,2147,26,3888,1861,48.5,16.0,23.0,0.0,2014
0,29,3792,1441,24,4230,1803,51.8,23,3614,1482,30,3292,1703,43.9,20.0,23.0,0.0,2014
0,22,3352,2161,34,3890,1681,61.1,31,4047,1691,19,3990,1722,52.0,17.0,6.0,1.0,2014
0,17,3182,1918,14,3252,2036,51.7,26,3412,1447,16,3773,2195,43.8,10.0,26.0,0.0,2014
0,23,3729,1872,25,3557,1937,59.3,13,4121,1727,25,3837,1669,76.2,33.0,20.0,1.0,2014
0,33,3297,1375,25,4084,1819,38.0,23,3511,2036,26,3645,1792,57.3,14.0,20.0,0.0,2014
0,25,3784,2354,31,4031,1650,79.7,22,3063,2176,29,3531,1612,60.9,17.0,28.0,0.0,2014
0,20,4661,1785,25,3607,1276,72.0,31,4894,1612,26,3669,1814,62.6,31.0,24.0,1.0,2014
0,20,4030,1422,27,3706,1109,47.3,28,4272,1603,26,3850,2162,62.5,35.0,14.0,1.0,2014
0,17,3808,1308,25,4152,1739,63.7,23,4098,1367,18,3427,1986,63.6,18.0,17.0,1.0,2014
0,20,3819,2019,22,3979,1412,68.2,21,4825,1752,21,4049,1605,68.7,26.0,6.0,1.0,2014
0,23,3511,2036,26,3645,1792,57.3,20,4030,1422,27,3706,1109,47.3,24.0,7.0,1.0,2014
0,23,3614,1482,30,3292,1703,43.9,23,3729,1872,25,3557,1937,59.3,29.0,10.0,1.0,2014
0,31,4047,1691,19,3990,1722,52.0,26,3001,1633,20,3899,2033,26.7,41.0,10.0,1.0,2014
0,26,3412,1447,16,3773,2195,43.8,25,3784,2354,31,4031,1650,79.7,10.0,26.0,0.0,2014
0,28,4272,1603,26,3850,2162,62.5,17,3808,1308,25,4152,1739,63.7,14.0,25.0,0.0,2014
0,20,3244,1804,19,3572,1943,54.4,13,4121,1727,25,3837,1669,76.2,7.0,30.0,0.0,2014
0,23,3465,1728,29,3592,2265,38.4,30,4764,1818,17,4019,2125,74.8,26.0,24.0,1.0,2014
0,26,3421,2147,26,3888,1861,48.5,23,4553,1498,28,4478,1894,68.4,24.0,10.0,1.0,2014
0,33,3297,1375,25,4084,1819,38.0,27,3400,1635,25,3861,1765,45.2,17.0,19.0,0.0,2014
0,23,4098,1367,18,3427,1986,63.6,14,3250,2762,24,2970,1304,71.5,30.0,21.0,1.0,2014
0,29,3275,1240,14,3810,1911,40.1,22,3352,2161,34,3890,1681,61.1,14.0,30.0,0.0,2014
0,13,4261,1917,27,3623,1919,78.3,24,2946,2280,13,3746,1489,45.9,31.0,24.0,1.0,2014
0,20,4661,1785,25,3607,1276,72.0,17,3182,1918,14,3252,2036,51.7,24.0,17.0,1.0,2014
0,22,3063,2176,29,3531,1612,60.9,29,3792,1441,24,4230,1803,51.8,20.0,28.0,0.0,2014
0,31,4894,1612,26,3669,1814,62.6,36,4356,1992,28,4238,1771,64.1,27.0,30.0,0.0,2014
0,23,4553,1498,28,4478,1894,68.4,33,3297,1375,25,4084,1819,38.0,56.0,14.0,1.0,2014
0,23,3614,1482,30,3292,1703,43.9,23,4098,1367,18,3427,1986,63.6,10.0,22.0,0.0,2014
0,27,3400,1635,25,3861,1765,45.2,25,3784,2354,31,4031,1650,79.7,31.0,34.0,0.0,2014
0,36,4356,1992,28,4238,1771,64.1,31,4047,1691,19,3990,1722,52.0,37.0,34.0,1.0,2014
0,28,4272,1603,26,3850,2162,62.5,22,3352,2161,34,3890,1681,61.1,30.0,17.0,1.0,2014
0,30,4764,1818,17,4019,2125,74.8,20,3244,1804,19,3572,1943,54.4,20.0,9.0,1.0,2014
0,26,3421,2147,26,3888,1861,48.5,26,3412,1447,16,3773,2195,43.8,33.0,7.0,1.0,2014
0,23,3465,1728,29,3592,2265,38.4,20,3819,2019,22,3979,1412,68.2,21.0,23.0,0.0,2014
0,20,4030,1422,27,3706,1109,47.3,13,4261,1917,27,3623,1919,78.3,19.0,7.0,1.0,2014
0,26,3001,1633,20,3899,2033,26.7,31,4894,1612,26,3669,1814,62.6,17.0,44.0,0.0,2014
0,13,4121,1727,25,3837,1669,76.2,29,3275,1240,14,3810,1911,40.1,16.0,9.0,1.0,2014
0,17,3808,1308,25,4152,1739,63.7,22,3063,2176,29,3531,1612,60.9,23.0,14.0,1.0,2014
0,14,3250,2762,24,2970,1304,71.5,20,4661,1785,25,3607,1276,72.0,26.0,20.0,1.0,2014
0,23,3729,1872,25,3557,1937,59.3,17,3182,1918,14,3252,2036,51.7,15.0,34.0,0.0,2014
0,23,3511,2036,26,3645,1792,57.3,21,4825,1752,21,4049,1605,68.7,19.0,37.0,0.0,2014
0,24,2946,2280,13,3746,1489,45.9,29,3792,1441,24,4230,1803,51.8,19.0,27.0,0.0,2014
0,31,4047,1691,19,3990,1722,52.0,28,4272,1603,26,3850,2162,62.5,14.0,45.0,0.0,2014
0,29,3275,1240,14,3810,1911,40.1,23,3729,1872,25,3557,1937,59.3,14.0,38.0,0.0,2014
0,29,3792,1441,24,4230,1803,51.8,13,4261,1917,27,3623,1919,78.3,17.0,38.0,0.0,2014
0,22,3352,2161,34,3890,1681,61.1,23,3614,1482,30,3292,1703,43.9,23.0,17.0,1.0,2014
0,31,4894,1612,26,3669,1814,62.6,26,3412,1447,16,3773,2195,43.8,41.0,17.0,1.0,2014
0,20,3819,2019,22,3979,1412,68.2,23,3511,2036,26,3645,1792,57.3,38.0,10.0,1.0,2014
0,24,2946,2280,13,3746,1489,45.9,20,4030,1422,27,3706,1109,47.3,17.0,24.0,0.0,2014
0,21,4825,1752,21,4049,1605,68.7,33,3297,1375,25,4084,1819,38.0,24.0,27.0,0.0,2014
0,23,4098,1367,18,3427,1986,63.6,26,3001,1633,20,3899,2033,26.7,33.0,14.0,1.0,2014
0,22,3063,2176,29,3531,1612,60.9,36,4356,1992,28,4238,1771,64.1,26.0,21.0,1.0,2014
0,20,3244,1804,19,3572,1943,54.4,23,4553,1498,28,4478,1894,68.4,41.0,28.0,1.0,2014
0,25,3784,2354,31,4031,1650,79.7,30,4764,1818,17,4019,2125,74.8,38.0,17.0,1.0,2014
0,17,3182,1918,14,3252,2036,51.7,13,4121,1727,25,3837,1669,76.2,41.0,14.0,1.0,2014
0,13,4261,1917,27,3623,1919,78.3,20,3244,1804,19,3572,1943,54.4,42.0,10.0,1.0,2014
0,23,3511,2036,26,3645,1792,57.3,29,3792,1441,24,4230,1803,51.8,31.0,24.0,1.0,2014
0,26,3412,1447,16,3773,2195,43.8,23,3465,1728,29,3592,2265,38.4,28.0,29.0,0.0,2014
0,36,4356,1992,28,4238,1771,64.1,27,3400,1635,25,3861,1765,45.2,34.0,28.0,1.0,2014
0,28,4272,1603,26,3850,2162,62.5,23,4553,1498,28,4478,1894,68.4,30.0,20.0,1.0,2014
0,30,4764,1818,17,4019,2125,74.8,33,3297,1375,25,4084,1819,38.0,37.0,31.0,1.0,2014
0,25,3784,2354,31,4031,1650,79.7,22,3352,2161,34,3890,1681,61.1,20.0,17.0,1.0,2014
0,20,4030,1422,27,3706,1109,47.3,23,3614,1482,30,3292,1703,43.9,14.0,17.0,0.0,2014
0,31,4894,1612,26,3669,1814,62.6,20,3819,2019,22,3979,1412,68.2,20.0,13.0,1.0,2014
0,26,3001,1633,20,3899,2033,26.7,21,4825,1752,21,4049,1605,68.7,9.0,17.0,0.0,2014
0,20,4661,1785,25,3607,1276,72.0,17,3808,1308,25,4152,1739,63.7,41.0,20.0,1.0,2014
0,22,3063,2176,29,3531,1612,60.9,17,3182,1918,14,3252,2036,51.7,22.0,17.0,1.0,2014
0,23,4098,1367,18,3427,1986,63.6,24,2946,2280,13,3746,1489,45.9,31.0,0.0,1.0,2014
0,13,4121,1727,25,3837,1669,76.2,26,3421,2147,26,3888,1861,48.5,43.0,17.0,1.0,2014
0,31,4047,1691,19,3990,1722,52.0,14,3250,2762,24,2970,1304,71.5,17.0,27.0,0.0,2014
0,22,3352,2161,34,3890,1681,61.1,31,4894,1612,26,3669,1814,62.6,28.0,33.0,0.0,2014
0,24,2946,2280,13,3746,1489,45.9,20,4661,1785,25,3607,1276,72.0,17.0,31.0,0.0,2014
0,23,3465,1728,29,3592,2265,38.4,21,4825,1752,21,4049,1605,68.7,31.0,10.0,1.0,2014
0,26,3412,1447,16,3773,2195,43.8,26,3001,1633,20,3899,2033,26.7,16.0,14.0,1.0,2014
0,23,4553,1498,28,4478,1894,68.4,29,3792,1441,24,4230,1803,51.8,13.0,27.0,0.0,2014
0,23,3729,1872,25,3557,1937,59.3,13,4261,1917,27,3623,1919,78.3,24.0,27.0,0.0,2014
0,20,3244,1804,19,3572,1943,54.4,20,4030,1422,27,3706,1109,47.3,3.0,17.0,0.0,2014
0,26,3421,2147,26,3888,1861,48.5,23,3511,2036,26,3645,1792,57.3,37.0,37.0,0.5,2014
0,23,3614,1482,30,3292,1703,43.9,13,4121,1727,25,3837,1669,76.2,22.0,37.0,0.0,2014
0,33,3297,1375,25,4084,1819,38.0,20,3819,2019,22,3979,1412,68.2,17.0,48.0,0.0,2014
0,29,3275,1240,14,3810,1911,40.1,23,4098,1367,18,3427,1986,63.6,28.0,31.0,0.0,2014
0,14,3250,2762,24,2970,1304,71.5,25,3784,2354,31,4031,1650,79.7,23.0,30.0,0.0,2014
0,17,3808,1308,25,4152,1739,63.7,31,4047,1691,19,3990,1722,52.0,30.0,20.0,1.0,2014
0,36,4356,1992,28,4238,1771,64.1,28,4272,1603,26,3850,2162,62.5,27.0,0.0,1.0,2014
0,27,3400,1635,25,3861,1765,45.2,22,3063,2176,29,3531,1612,60.9,17.0,31.0,0.0,2014
0,13,4121,1727,25,3837,1669,76.2,24,2946,2280,13,3746,1489,45.9,27.0,25.0,1.0,2014
0,31,4894,1612,26,3669,1814,62.6,26,3421,2147,26,3888,1861,48.5,27.0,0.0,1.0,2014
0,31,4047,1691,19,3990,1722,52.0,26,3412,1447,16,3773,2195,43.8,19.0,17.0,1.0,2014
0,29,3792,1441,24,4230,1803,51.8,23,3729,1872,25,3557,1937,59.3,14.0,27.0,0.0,2014
0,26,3001,1633,20,3899,2033,26.7,23,3465,1728,29,3592,2265,38.4,24.0,6.0,1.0,2014
0,27,3400,1635,25,3861,1765,45.2,14,3250,2762,24,2970,1304,71.5,28.0,26.0,1.0,2014
0,13,4261,1917,27,3623,1919,78.3,23,3511,2036,26,3645,1792,57.3,38.0,17.0,1.0,2014
0,20,3819,2019,22,3979,1412,68.2,23,4553,1498,28,4478,1894,68.4,29.0,7.0,1.0,2014
0,23,3614,1482,30,3292,1703,43.9,20,3244,1804,19,3572,1943,54.4,17.0,16.0,1.0,2014
0,20,4030,1422,27,3706,1109,47.3,30,4764,1818,17,4019,2125,74.8,24.0,23.0,1.0,2014
0,23,4098,1367,18,3427,1986,63.6,17,3182,1918,14,3252,2036,51.7,20.0,23.0,0.0,2014
0,25,3784,2354,31,4031,1650,79.7,28,4272,1603,26,3850,2162,62.5,31.0,21.0,1.0,2014
0,29,3275,1240,14,3810,1911,40.1,17,3808,1308,25,4152,1739,63.7,13.0,24.0,0.0,2014
0,20,4661,1785,25,3607,1276,72.0,22,3063,2176,29,3531,1612,60.9,42.0,17.0,1.0,2014
0,21,4825,1752,21,4049,1605,68.7,22,3352,2161,34,3890,1681,61.1,30.0,23.0,1.0,2014
0,20,4661,1785,25,3607,1276,72.0,23,4098,1367,18,3427,1986,63.6,35.0,21.0,1.0,2014
0,23,4553,1498,28,4478,1894,68.4,20,4030,1422,27,3706,1109,47.3,21.0,22.0,0.0,2014
