Player,Tm,QBR
Carson Palmer,ARI,63.7
Matt Ryan*,ATL,68.4
Joe Flacco,BAL,68.2
Kyle Orton,BUF,43.9
Cam Newton,CAR,57.3
Jay Cutler,CHI,51.8
Andy Dalton*,CIN,48.5
Brian Hoyer,CLE,38.4
Tony Romo *,DAL,79.7
Peyton Manning *,DEN,72
Matthew Stafford*,DET,47.3
Aaron Rodgers *+,GNB,78.3
Ryan Fitzpatrick,HOU,61.1
Andrew Luck *,IND,62.6
Blake Bortles,JAX,26.7
Alex Smith,KAN,51.7
Philip Rivers,LAC,63.6
Shaun Hill,LAR,45.2
Derek Carr,LAS,40.1
Ryan Tannehill,MIA,59.3
Teddy Bridgewater,MIN,54.4
Tom Brady *,NE,76.2
Drew Brees*,NOR,74.8
Eli Manning,NYG,62.5
Geno Smith,NYJ,45.9
Nick Foles,PHI,64.1
Ben Roethlisberger*,PIT,68.7
Colin Kaepernick,SAN,60.9
Russell Wilson,SEA,71.5
Josh McCown,TAM,38
Jake Locker,TEN,43.8
Kirk Cousins,WAS,52
