,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,home_Year,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,visiting_Year,home score,visiting score,Win Binary
0,26,5444,1873,26,4070,1626,79.0,2013,29,3590,1328,24,3681,1687,48.0,2013,49.0,27.0,1.0
0,27,3103,2307,30,3271,2063,38.2,2013,20,4087,2065,29,3824,2145,63.1,2013,21.0,23.0,0.0
0,24,4017,1383,20,3546,1849,58.0,2013,25,3496,1894,25,3612,1795,58.7,2013,9.0,16.0,0.0
0,19,4918,1473,19,3105,1786,69.1,2013,28,4243,1247,21,3897,2173,67.5,2013,23.0,17.0,1.0
0,29,2932,2158,15,3947,1412,41.0,2013,21,2820,1612,31,3806,1762,55.2,2013,18.0,17.0,1.0
0,27,3441,1260,21,3962,2108,34.9,2013,18,3340,2056,36,3962,1923,45.0,2013,2.0,28.0,0.0
0,23,4281,1828,28,3730,2583,82.4,2013,30,4136,1755,31,3344,1544,54.8,2013,24.0,21.0,1.0
0,29,4040,1383,21,3538,1781,43.3,2013,26,3567,1440,24,3752,1998,48.4,2013,10.0,23.0,0.0
0,19,3043,2026,30,3429,1391,64.3,2013,19,3236,2188,39,2752,1626,67.2,2013,7.0,12.0,0.0
0,34,4482,1792,22,3950,1596,53.5,2013,32,3427,2081,20,4595,1767,52.3,2013,34.0,24.0,1.0
0,14,3725,1743,27,3711,2002,63.8,2013,31,3340,2000,22,4092,1727,46.0,2013,21.0,17.0,1.0
0,21,3125,1752,29,3874,1646,56.9,2013,31,4002,1540,30,3728,1351,54.0,2013,27.0,24.0,1.0
0,18,2979,2201,30,3536,1535,67.3,2013,25,4268,2136,22,3956,2000,61.6,2013,34.0,28.0,1.0
0,20,3954,1504,28,4589,2056,61.9,2013,44,3588,1332,29,3573,1743,38.6,2013,36.0,31.0,1.0
0,34,3751,2164,26,3896,1769,50.4,2013,19,4110,2566,31,4636,1668,69.5,2013,27.0,33.0,0.0
0,21,4328,1965,17,4139,1725,75.1,2013,31,3813,1743,11,3123,1958,48.6,2013,28.0,31.0,0.0
0,20,4087,2065,29,3824,2145,63.1,2013,29,2932,2158,15,3947,1412,41.0,2013,13.0,10.0,1.0
0,19,4110,2566,31,4636,1668,69.5,2013,21,4328,1965,17,4139,1725,75.1,2013,30.0,33.0,0.0
0,29,3590,1328,24,3681,1687,48.0,2013,29,4040,1383,21,3538,1781,43.3,2013,14.0,6.0,1.0
0,31,3813,1743,11,3123,1958,48.6,2013,25,3496,1894,25,3612,1795,58.7,2013,30.0,24.0,1.0
