Player,Tm,QBR
Carson Palmer,ARI,50
Matt Ryan,ATL,67.1
Joe Flacco,BAL,46.7
Tyrod Taylor,BUF,56.4
Cam Newton,CAR,51.5
Mitchell Trubisky,CHI,32.4
Andy Dalton,CIN,44.8
DeShone Kizer,CLE,32.6
Dak Prescott,DAL,69.9
Trevor Siemian,DEN,30.9
Matthew Stafford,DET,65.2
Aaron Rodgers,GNB,66
Deshaun Watson,HOU,83.5
Jacoby Brissett,IND,43.3
Blake Bortles,JAX,59.2
Alex Smith*,KAN,65.1
Philip Rivers*,LAC,61.1
Jared Goff*,LAR,55.7
Derek Carr *,LAS,50.5
Jay Cutler,MIA,43.5
Case Keenum,MIN,72.8
Tom Brady *+,NE,70.6
Drew Brees*,NOR,62.5
Eli Manning,NYG,47.5
Josh McCown,NYJ,55.6
Carson Wentz *,PHI,78.5
Ben Roethlisberger*,PIT,66.6
C.J. Beathard,SAN,35.4
Russell Wilson *,SEA,61.9
Jameis Winston,TAM,52
Marcus Mariota,TEN,58.6
Kirk Cousins,WAS,56
