Player,Tm,QBR
Carson Palmer*,ARI,76.4
Matt Ryan,ATL,64.1
Joe Flacco,BAL,50.8
Tyrod Taylor *,BUF,66.3
Cam Newton*+,CAR,61.4
Jay Cutler,CHI,61
Andy Dalton,CIN,72.5
Josh McCown,CLE,52.9
Tony Romo,DAL,50.5
Brock Osweiler,DEN,54.9
Matthew Stafford,DET,58.3
Aaron Rodgers *,GNB,60
Brian Hoyer,HOU,52.8
Andrew Luck,IND,52.4
Blake Bortles,JAX,51.4
Alex Smith,KAN,61.1
Philip Rivers,LAC,57.3
Nick Foles,LAR,28.9
Ryan Tannehill,MIA,45.6
Teddy Bridgewater*,MIN,57.7
Tom Brady *,NE,68.4
Drew Brees,NOR,66.8
Eli Manning *,NYG,57.9
Ryan Fitzpatrick,NYJ,62
Derek Carr *,OAK,43.1
Sam Bradford,PHI,39.2
Ben Roethlisberger*,PIT,72.8
Colin Kaepernick,SAN,43.7
Russell Wilson *,SEA,68.6
Jameis Winston*,TAM,57.2
Marcus Mariota,TEN,48.4
Kirk Cousins,WAS,67.8
