,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,home_Year,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,visiting_Year,home score,visiting score,Win Binary
0,23,4275,1570,17,4308,1551,62.0,2018,18,4653,1573,19,4153,1999,65.7,2018,18.0,12.0,1.0
0,24,4007,1893,31,4125,2163,51.2,2018,26,5008,1445,15,3697,1538,69.6,2018,21.0,21.0,0.5
0,20,4036,1493,20,3140,1815,59.5,2018,32,3867,1902,7,3732,1814,51.7,2018,24.0,16.0,1.0
0,24,4461,1718,26,3805,1630,69.6,2018,17,3290,1682,18,4414,2204,59.4,2018,23.0,34.0,0.0
0,20,3558,2441,17,3360,1327,54.8,2018,32,2794,1984,27,2867,1839,49.8,2018,47.0,3.0,1.0
0,19,4047,1650,21,4044,1898,49.1,2018,29,3109,1723,17,3113,1870,43.4,2018,15.0,20.0,0.0
0,16,4042,2025,24,4302,1283,79.2,2018,35,5125,1523,17,4151,1983,66.2,2018,40.0,48.0,0.0
0,18,4258,2037,28,3943,1803,68.4,2018,16,3781,2021,29,4167,1323,61.8,2018,27.0,20.0,1.0
0,23,2900,1738,28,3932,2325,33.2,2018,18,2975,2027,17,3471,1863,53.2,2018,27.0,20.0,1.0
0,19,4089,1873,20,3646,1693,67.8,2018,18,4955,1855,27,4374,2114,80.3,2018,28.0,38.0,0.0
0,21,3695,1907,28,3929,1913,44.5,2018,11,3093,2560,26,3842,1811,63.3,2018,27.0,24.0,1.0
0,22,3836,2136,23,3847,1804,53.2,2018,17,3538,1963,20,3755,1513,55.2,2018,16.0,8.0,1.0
0,28,2523,1342,16,3262,2479,24.1,2018,19,3021,1774,26,3794,1860,46.9,2018,6.0,24.0,0.0
0,15,4238,1667,15,3752,1918,58.0,2018,24,3564,1938,36,3515,1280,71.0,2018,24.0,23.0,1.0
0,19,3576,1660,14,3599,1761,51.3,2018,30,3165,1622,20,4065,2021,45.9,2018,17.0,48.0,0.0
0,24,3751,1628,17,3853,2249,46.5,2018,19,4507,2231,30,3780,1957,63.6,2018,13.0,33.0,0.0
0,17,3290,1682,18,4414,2204,59.4,2018,20,3558,2441,17,3360,1327,54.8,2018,34.0,23.0,1.0
0,19,3021,1774,26,3794,1860,46.9,2018,24,4461,1718,26,3805,1630,69.6,2018,9.0,21.0,0.0
0,18,4653,1573,19,4153,1999,65.7,2018,22,3836,2136,23,3847,1804,53.2,2018,31.0,24.0,1.0
0,15,4238,1667,15,3752,1918,58.0,2018,20,4036,1493,20,3140,1815,59.5,2018,29.0,29.0,0.5
0,32,2794,1984,27,2867,1839,49.8,2018,19,4089,1873,20,3646,1693,67.8,2018,20.0,31.0,0.0
