Player,Tm,QBR
Carson Palmer,ARI,54
Matt Ryan,ATL,67.5
Joe Flacco,BAL,48
EJ Manuel,BUF,38.2
Cam Newton*,CAR,64.3
Josh McCown,CHI,82.4
Andy Dalton,CIN,54.8
Jason Campbell,CLE,43.3
Tony Romo,DAL,61.9
Peyton Manning *+,DEN,79
Matthew Stafford,DET,53.5
Aaron Rodgers,GNB,61.6
Case Keenum,HOU,48.6
Andrew Luck *,IND,63.8
Chad Henne,JAX,34.9
Alex Smith*,KAN,45
Philip Rivers*,LAC,75.1
Sam Bradford,LAR,56.9
Matt McGloin,LAS,46
Ryan Tannehill,MIA,48.4
Matt Cassel,MIN,52.3
Tom Brady *,NE,63.1
Drew Brees*,NOR,69.1
Eli Manning,NYG,38.6
Geno Smith,NYJ,41
Nick Foles*,PHI,69.5
Ben Roethlisberger,PIT,58
Colin Kaepernick,SAN,67.3
Russell Wilson *,SEA,67.2
Mike Glennon,TAM,55.2
Ryan Fitzpatrick,TEN,58.7
Robert Griffin III,WAS,50.4
