Player,Tm,QBR
Carson Palmer,ARI,52.9
Matt Ryan*+,ATL,79.6
Joe Flacco,BAL,52.5
Tyrod Taylor,BUF,62.4
Cam Newton,CAR,47.1
Jay Cutler,CHI,78.1
Andy Dalton*,CIN,52.3
Kevin Hogan,CLE,64.7
Dak Prescott *,DAL,77.6
Trevor Siemian,DEN,49.7
Matthew Stafford,DET,65.2
Aaron Rodgers *,GNB,72.4
Brock Osweiler,HOU,49.3
Andrew Luck,IND,65.9
Blake Bortles,JAX,43
Alex Smith*,KAN,60.8
Philip Rivers*,LAC,58.7
Case Keenum,LAR,37.5
Derek Carr *,LAS,56.1
Ryan Tannehill,MIA,48.6
Sam Bradford,MIN,53.1
Tom Brady *,NE,79.4
Drew Brees*,NOR,66.8
Eli Manning,NYG,45.7
Ryan Fitzpatrick,NYJ,39.2
Carson Wentz,PHI,46.7
Ben Roethlisberger*,PIT,60.5
Colin Kaepernick,SAN,49.2
Russell Wilson,SEA,57.1
Jameis Winston,TAM,59.5
Marcus Mariota,TEN,59.1
Kirk Cousins *,WAS,66.5
