,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,35,4198,1510,28,3987,1567,58.7,27,3926,1616,29,4012,1875,59.5,21.0,28.0,0.0,2016
0,28,4136,1732,28,3365,1518,52.9,21,4758,1696,21,4130,1916,66.5,31.0,23.0,1.0,2016
0,18,4202,1760,23,3882,1600,60.5,27,3879,1412,25,4018,1417,45.7,24.0,14.0,1.0,2016
0,18,4124,1591,19,3612,1487,57.1,29,3685,1814,27,4291,1465,47.1,40.0,7.0,1.0,2016
0,34,3466,1802,14,3898,1581,39.2,22,4202,1628,17,4200,1926,65.9,10.0,41.0,0.0,2016
0,17,3740,1748,33,3958,1938,60.8,14,4051,1922,30,4120,1881,56.1,21.0,13.0,1.0,2016
0,18,3541,2187,18,4307,1413,59.1,25,3685,1484,27,2972,2085,49.7,13.0,10.0,1.0,2016
0,29,3685,1814,27,4291,1465,47.1,35,4198,1510,28,3987,1567,58.7,28.0,16.0,1.0,2016
0,22,4202,1628,17,4200,1926,65.9,24,3176,1859,17,3226,1595,49.3,17.0,22.0,0.0,2016
0,25,3264,1712,13,3996,2283,64.7,17,3942,1769,20,3800,1812,52.3,10.0,23.0,0.0,2016
0,12,3036,2630,18,3582,2130,62.4,18,4202,1760,23,3882,1600,60.5,20.0,27.0,0.0,2016
0,23,3500,1824,25,3875,2247,48.6,28,4136,1732,28,3365,1518,52.9,26.0,23.0,1.0,2016
0,15,4111,1310,14,3975,1701,65.2,31,3969,1735,11,3598,1950,78.1,20.0,17.0,1.0,2016
0,29,3728,1631,13,3444,1703,43.0,16,3836,1205,27,3327,1711,53.1,16.0,25.0,0.0,2016
0,27,3926,1616,29,4012,1875,59.5,24,5074,1742,21,4380,1626,66.8,16.0,11.0,1.0,2016
0,20,3585,1813,26,3832,1652,46.7,21,4758,1696,21,4130,1916,66.5,22.0,27.0,0.0,2016
0,25,2911,2019,20,3848,2654,49.2,34,3466,1802,14,3898,1581,39.2,17.0,23.0,0.0,2016
0,17,4199,1701,25,4308,1515,72.4,18,4124,1591,19,3612,1487,57.1,38.0,10.0,1.0,2016
0,29,2951,1252,18,3732,1660,37.5,11,4725,1928,22,4267,1672,79.6,14.0,42.0,0.0,2016
0,27,3879,1412,25,4018,1417,45.7,15,3631,2396,20,4167,1336,77.6,10.0,7.0,1.0,2016
0,11,4308,1872,23,3806,1417,79.4,23,4100,1463,28,3724,1430,52.5,30.0,23.0,1.0,2016
0,18,4124,1591,19,3612,1487,57.1,29,2951,1252,18,3732,1660,37.5,24.0,3.0,1.0,2016
0,34,3466,1802,14,3898,1581,39.2,23,3500,1824,25,3875,2247,48.6,13.0,34.0,0.0,2016
0,15,3631,2396,20,4167,1336,77.6,27,3926,1616,29,4012,1875,59.5,26.0,20.0,1.0,2016
0,27,3879,1412,25,4018,1417,45.7,15,4111,1310,14,3975,1701,65.2,17.0,6.0,1.0,2016
0,23,4100,1463,28,3724,1430,52.5,20,3585,1813,26,3832,1652,46.7,27.0,26.0,1.0,2016
0,31,3969,1735,11,3598,1950,78.1,17,4199,1701,25,4308,1515,72.4,27.0,30.0,0.0,2016
0,16,3836,1205,27,3327,1711,53.1,22,4202,1628,17,4200,1926,65.9,6.0,34.0,0.0,2016
0,12,3036,2630,18,3582,2130,62.4,25,3264,1712,13,3996,2283,64.7,33.0,13.0,1.0,2016
0,17,3740,1748,33,3958,1938,60.8,18,3541,2187,18,4307,1413,59.1,17.0,19.0,0.0,2016
0,24,3176,1859,17,3226,1595,49.3,29,3728,1631,13,3444,1703,43.0,21.0,20.0,1.0,2016
0,28,4136,1732,28,3365,1518,52.9,24,5074,1742,21,4380,1626,66.8,41.0,48.0,0.0,2016
0,11,4725,1928,22,4267,1672,79.6,25,2911,2019,20,3848,2654,49.2,41.0,13.0,1.0,2016
0,25,3685,1484,27,2972,2085,49.7,11,4308,1872,23,3806,1417,79.4,3.0,16.0,0.0,2016
0,35,4198,1510,28,3987,1567,58.7,14,4051,1922,30,4120,1881,56.1,16.0,19.0,0.0,2016
0,17,3942,1769,20,3800,1812,52.3,18,4202,1760,23,3882,1600,60.5,20.0,24.0,0.0,2016
0,21,4758,1696,21,4130,1916,66.5,29,3685,1814,27,4291,1465,47.1,15.0,26.0,0.0,2016
0,20,3585,1813,26,3832,1652,46.7,27,3879,1412,25,4018,1417,45.7,24.0,19.0,1.0,2016
0,31,3969,1735,11,3598,1950,78.1,21,4758,1696,21,4130,1916,66.5,21.0,41.0,0.0,2016
0,12,3036,2630,18,3582,2130,62.4,23,3500,1824,25,3875,2247,48.6,31.0,34.0,0.0,2016
0,24,5074,1742,21,4380,1626,66.8,27,3926,1616,29,4012,1875,59.5,31.0,24.0,1.0,2016
0,29,3685,1814,27,4291,1465,47.1,11,4725,1928,22,4267,1672,79.6,16.0,33.0,0.0,2016
0,17,4199,1701,25,4308,1515,72.4,16,3836,1205,27,3327,1711,53.1,38.0,25.0,1.0,2016
0,11,4308,1872,23,3806,1417,79.4,34,3466,1802,14,3898,1581,39.2,41.0,3.0,1.0,2016
